"","Row.names","logFC","AveExpr","t","P.Value","adj.P.Val","B","module","type"
"1","ABCC8",1.07576582510014,8.99910740519032,28.7192822496734,6.86554473090336e-154,3.17863341684918e-153,339.9035042339,6,"e"
"2","ACTL6B",3.48409301498984,7.73225538966246,64.3725659092777,0,0,1147.53175521212,1,"a"
"3","AGBL4",2.22784258192166,7.77192892062863,57.5100857533342,0,0,993.861768709831,32,"a"
"4","AMPD1",-1.7992485260372,7.4707399455571,-28.1538101598561,8.37056536694371e-149,3.70160093799411e-148,328.661995635122,4,"a"
"5","ANKS1B",1.01546383907574,9.12468137236841,31.775305441221,4.23428214744348e-182,2.38142848292459e-181,404.73671479958,37,"a"
"6","ARX",1.22981795698405,7.85765479581888,16.4451673590612,2.41313131246389e-57,5.15211220342609e-57,118.40358163904,5,"c"
"7","ASXL3",1.34036139850136,8.33569792013652,33.8166705617017,1.61561485725257e-201,1.0414501925982e-200,449.762389720531,41,"a"
"8","ATP1A3",1.41873273978078,9.16955966122886,43.4424099703176,8.92942073435258e-297,1.16013249230813e-295,668.763502260148,5,"c"
"9","ATP8A2",1.25974420668431,8.8925408612798,37.6302140271349,1.04858232399562e-238,9.01243064111103e-238,535.163011306994,42,"e"
"10","AVPR2",-1.304862235127,8.03922577614582,-37.9999282545192,2.3239838829503e-242,2.0718069084174e-241,543.815695578002,7,"e"
"11","BCL11A",1.19006762540038,8.63624616373167,27.173321391041,4.26085144474846e-140,1.7764146819399e-139,308.322171661029,19,"a"
"12","BDNF",1.20685161252035,8.2282692974594,29.4696811142423,1.04372848731792e-160,5.20621709745485e-160,355.900262955709,2,"e"
"13","CACNA1B",2.32820210450225,8.48135668937126,80.0659884270503,0,0,1479.00199742212,5,"a"
"14","CACNA1E",1.36596771745442,8.93288876364255,43.2523492077057,7.3189369819542e-295,9.22296118928965e-294,664.431544371653,5,"a"
"15","CACNA1G",1.67415293569246,8.54459351203743,41.1653175584078,6.76146889063401e-274,7.708994463063e-273,616.299570570903,5,"c"
"16","CACNG2",3.57463836887033,7.32114048049614,102.303206446686,0,0,1896.97242442316,5,"e"
"17","CADPS",1.90039540796956,8.68687523573902,47.0332298958992,0,0,752.336810261468,17,"a"
"18","CALN1",2.11909499221069,8.59930363608095,50.7724835193595,0,0,839.104133386881,53,"e"
"19","CDH10",3.03894337846308,7.90187727662265,68.3144729546051,0,0,1233.54521571498,1,"a"
"20","CDH22",1.71327033311697,8.53243389415099,37.1014581837658,1.71410350274975e-233,1.41519087222098e-232,523.303253839582,62,"a"
"21","CDH8",1.85942733284475,8.3479591088339,36.8026761895955,1.4888194762259e-230,1.16601001969841e-229,516.582042689417,1,"a"
"22","CDH9",2.69150831039166,6.90419558532841,38.3592295247854,6.42795166200668e-246,5.88702021066841e-245,552.245017430517,1,"a"
"23","CELF4",1.66799110378241,8.85754698522344,43.769822731389,4.4977966225971e-300,6.07927995118769e-299,676.497848737395,63,"c"
"24","CHRM3",1.136752415505,8.27041919883982,24.0197428477928,3.51437206552021e-113,1.22710157954414e-112,246.570128989664,6,"a"
"25","CHRNA2",1.81832778464418,7.59105663255654,32.5880027051389,8.80209464774698e-190,5.19447557381124e-189,422.952646088228,13,"e"
"26","CHRNA4",2.76427892230861,8.08404848605912,61.7800365336033,0,0,1089.97874504346,13,"e"
"27","CHRNB2",1.93484005830023,8.52002678893886,43.4818952837845,3.57433593394919e-297,4.71699765771562e-296,669.903280373198,13,"e"
"28","CHRNB3",1.78632687171324,6.29624738933621,31.6756622950472,3.6638177976307e-181,2.04005270060766e-180,403.30497367627,13,"c"
"29","CNTN2",1.50999393198444,9.04722259727296,40.1105840459963,2.40436508487114e-263,2.51857242640252e-262,591.875178932116,5,"e"
"30","CNTN3",1.37468021125537,8.51038838138422,33.6393589672337,8.13813643354713e-200,5.16648358432765e-199,445.784183947595,15,"a"
"31","CNTN5",2.47159615027908,7.50346553167912,60.1799802102062,0,0,1054.21613274319,15,"a"
"32","CNTN6",2.4398314930244,7.7564022881656,58.9718896397799,0,0,1026.96809513405,7,"a"
"33","CNTNAP2",2.34721058086709,8.47309942818247,51.5950827093052,0,0,858.152844984785,5,"c"
"34","CNTNAP4",2.20243267243394,8.53160420485542,49.8262098100908,0,0,817.202936290108,15,"a"
"35","CNTNAP5",3.25760447885698,7.03665049475349,112.859900638682,0,0,2075.27667360046,74,"a"
"36","COL2A1",1.46574082704824,7.45106856701767,34.1210042425263,1.90725661505697e-204,1.26847701858551e-203,456.72450452291,2,"e"
"37","CRB2",1.97412822981051,8.38322256320659,49.7966005129778,0,0,816.522037264432,12,"e"
"38","CRH",2.33151902351503,7.06408830436023,36.95858155802,4.3654276993071e-232,3.51752731924937e-231,520.392290955814,6,"e"
"39","CRHR1",2.24309292123755,8.08451699635252,52.5089201529986,0,0,879.29420359866,6,"e"
"40","CSMD1",1.69072903247602,8.58210475163826,57.2031877472559,0,0,986.738534157506,78,"a"
"41","CTNNA2",2.05459678473683,8.65912180337421,46.8322075032815,0,0,747.682820991185,1,"a"
"42","CTNND2",1.72755680131362,8.98895032319163,46.9512230169515,0,0,750.355654826873,1,"c"
"43","CUX2",1.62756158523897,8.31556952111658,41.5147795250407,2.1219264449051e-277,2.48695714801465e-276,624.415607005907,5,"a"
"44","DCX",2.94047356881835,7.69826608658389,70.0709013719013,0,0,1271.31726451171,3,"e"
"45","DDC",1.11817808564198,7.3311795371349,22.102733671571,9.42375858014133e-98,3.00270330424275e-97,211.338888108512,4,"a"
"46","DLGAP1",1.44246023198372,8.87091342475403,56.4887940816843,0,0,970.396207066137,8,"a"
"47","DLGAP2",2.04035580533862,8.20156501831993,41.288364610007,3.95275729846989e-275,4.53754878920242e-274,619.219032311022,8,"a"
