Table S17. Top 200 genes with burden of deleterious URVs in all epilepsy cases (AC=1),,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Gene,Ncase_carrier,Ncase_ptv,Ncase_mis,Ncase_infrindel,Ncase_noncarrier,Ncontrol_carrier,Ncontrol_ptv,Ncontrol_mis,Ncase_infrindel,Ncontrol_noncarrier,OR,Pval_obs,pli,misZ,ee_dom50,epi_id_top33,epi_dom43,brain,gabaaRec_19,gabaaergic_113,excitatoryRec_34,volIonChl_86
TRIM3,14,1,13,0,9156,0,0,0,0,8436,Inf,0.000141047,0.904795356,4.918423008,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ADCY10,3,2,0,1,9167,19,17,0,2,8417,0.144976546,0.00033689,2.31E-27,-0.295113991,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
GABRG2,15,1,14,0,9155,1,0,1,0,8435,13.82031677,0.000600068,0.927172865,3.573575626,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
CACNA1G,19,2,17,0,9151,3,0,3,0,8433,5.836411321,0.001034888,0.999998723,4.978854328,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
SCN1A,23,9,14,0,9147,5,1,4,0,8431,4.239925659,0.00185646,0.999999995,5.757887964,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
PPFIA3,15,0,15,0,9155,2,0,2,0,8434,6.909339159,0.002667607,0.999997883,6.999536691,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
LDLR,0,0,0,0,9170,8,8,0,0,8428,0,0.002773677,1.83E-14,0.366848094,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
SCN8A,17,1,16,0,9153,3,0,3,0,8433,5.220911177,0.002986387,0.999987636,7.857844875,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
RC3H2,12,4,8,0,9158,1,0,1,0,8435,11.05263158,0.003740711,0.99999958,1.843341897,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
LGI1,9,6,2,1,9161,0,0,0,0,8436,Inf,0.004143896,0.995229323,2.750391243,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
