module,gene
1,APOE
1,PTPN11
1,SOX2
1,GFAP
1,RAPGEF6
1,TRRAP
1,HDAC4
1,RORA
1,PRKX
1,NADK2
1,HLA-G
1,DLL1
1,THBS1
1,PIK3AP1
1,PSMD12
1,ATP6V0C
1,AKT3
1,RALA
1,CTNND2
1,PON1
1,PER1
1,FGD1
1,LAMB1
1,COL4A2
1,CD276
1,LRP1
1,WWOX
1,COL2A1
1,GPC6
1,KRAS
1,CDK5
1,CAMK2B
1,SPP2
1,CARD9
1,PPP1R1B
1,NRAS
1,MEMO1
1,PRRT2
1,MSR1
1,PHB
1,TRPC6
1,HTT
1,PNPLA7
1,PRKAR1B
1,SDC2
1,RAPGEF4
1,MAPK3
1,PROS1
1,BMP4
1,MRAP
1,CORO1A
1,SLC7A5
1,WASF1
1,EXT1
1,CYFIP1
1,FGFR3
1,NCKAP1
1,LPHN2
1,NPAS2
1,RPS6KA2
1,TNK2
1,PPP1R15B
1,COL18A1
1,EXT2
1,IRF3
1,NRG3
1,DNM1
1,PLCB1
1,RASSF5
1,HSPG2
1,MEF2C
1,PER2
1,FHIT
1,MED13
1,YAP1
1,DMD
1,STAT1
1,HGSNAT
1,PRKCA
1,ISG15
1,MAF
1,IL1RN
1,RORB
1,HS3ST5
1,KHDRBS2
1,LAMC3
1,EPHB2
1,NTRK2
1,HS2ST1
1,RAPSN
1,COL6A2
1,APH1A
1,PRNP
1,MSC
1,FGA
1,IGSF8
1,PDCD1
1,TBX1
1,GATA6
1,SERPINE1
1,STAT2
1,COL3A1
1,NTRK1
1,EIF4E
1,NACC1
1,GRIN1
1,DIAPH1
1,GRIN2D
1,CSF1R
1,NRG2
1,CDK8
1,L1CAM
1,PSMB8
1,CAMK4
1,COL28A1
1,CREBBP
1,ELMO1
1,XPO1
1,HLA-DPB1
1,NR1D1
1,IL10
1,BRAF
1,ARHGAP5
1,RIT2
1,CHRDL1
1,CTNNA3
1,DNM3
1,PTPRC
1,MED13L
1,WNT1
1,RNF135
1,THRA
1,PRKCB
1,LAMA2
1,FLG
1,PIK3R2
1,EGF
1,NID1
1,SEZ6L2
1,PAK3
1,MED12
1,ERBIN
1,DGKD
1,PAK1
1,TNRC6B
1,PTEN
1,CP
1,IL1R2
1,SND1
1,ACTG1
1,PPP2R1A
1,INSR
1,FBN1
1,TSC1
1,YWHAE
1,ATP6AP1
1,MET
1,CYP26C1
1,ARHGDIA
1,MED12L
1,IFIH1
1,DVL3
1,PSEN2
1,CTNNA2
1,PAK2
1,TICAM1
1,ACTB
1,NR2F1
1,CCDC88C
1,HLA-A
1,TAP1
1,CPZ
1,TCF7L2
1,TRAF3
1,AKT2
1,NUP133
1,STK11
1,TSC2
1,FGFR2
1,IFNAR2
1,ECM1
1,EP300
1,NOTCH2NL
1,FLNA
1,AMER1
1,P4HA2
1,PIK3CG
1,NCOR1
1,HCK
1,NONO
1,TBL1X
1,CD59
1,MTOR
1,SVIL
1,LILRB2
1,FCRL6
1,NGFRAP1
1,NOD2
1,GFRA1
1,ENG
1,RBPJ
1,RANBP2
1,MYO9B
1,LOR
1,HRAS
1,RHEB
1,MAGI2
1,SPARCL1
1,ADRB2
1,BDNF
1,ITGB3
1,RERE
1,GRIN2B
1,HLA-DRB1
1,BTRC
1,ERBB4
1,IL27RA
1,ATP6V0A2
1,BST1
1,COL6A3
1,PLAUR
1,TBL1XR1
1,PTPN23
1,DNER
1,THRB
1,PLA2G6
1,CARD11
1,ESRRB
1,GPC4
1,FADD
1,PTK7
1,ACTN4
1,TRIM33
1,PTPRB
1,RPS6KA3
1,PMP22
1,IQGAP3
1,PPP2R1B
1,FGF8
1,LZTR1
1,CBL
1,IL6
1,IL1B
1,ITPR1
1,CTNNB1
1,ADORA2A
1,LAMA1
1,PTGS2
1,AR
1,MARK1
1,LEP
1,CAMK2A
1,HLA-B
1,PAX6
1,SMAD4
1,PSEN1
1,DOCK1
1,GRIP1
1,CMIP
1,TNFAIP6
1,SPTAN1
1,DPP4
1,RAC1
1,MIB1
1,KAT2B
1,NOTCH1
1,BCL10
1,PPP2CA
1,CRYAB
1,MYO1E
1,ZFYVE26
1,COL4A1
1,ATP6AP2
1,ACE
1,MAPK10
1,PPP2R5D
1,ERLIN2
1,MED17
1,TCF4
1,GIPC1
1,ATP7A
1,CD38
2,SPTLC2
2,CSMD1
2,PRDM8
2,AFF2
2,FASTKD2
2,TMEM70
2,ETFB
2,GLYCTK
2,ADK
2,DPYD
2,GNPAT
2,GLO1
2,AMACR
2,MT-CO1
2,MTHFR
2,BCAS1
2,MAOA
2,GDA
2,GJC2
2,PNPT1
2,DHCR7
2,DLD
2,CMPK2
2,MTFMT
2,MRPS22
2,LARS2
2,BCS1L
2,DUSP15
2,PSPH
2,CPS1
2,FOXRED1
2,EPM2A
2,POLG2
2,ATPAF2
2,PLCD4
2,COX8A
2,GBE1
2,PSAT1
2,CLPB
2,FARS2
2,PEX7
2,GTPBP3
2,AGMO
2,CERS1
2,AUH
2,PNPLA8
2,COQ8A
2,HSD17B10
2,NARS2
2,UPB1
2,ALDH4A1
2,MCCC1
2,UQCC2
2,CECR2
2,AGL
2,TPK1
2,ACADSB
2,NSDHL
2,NAT8L
2,GUF1
2,ACO2
2,PEX5
2,DHTKD1
2,ASMT
2,HIBCH
2,GPX4
2,SPR
2,COQ6
2,FBXO28
2,NDUFS8
2,ACADS
2,ALDH18A1
2,MMADHC
2,AMPD1
2,AMT
2,NHLRC1
2,MMAA
2,NDUFV1
2,CAD
2,TXN2
2,PDHX
2,EARS2
2,OPLAH
2,NDUFA1
2,GATM
2,ADSS2
2,MT-CO3
2,NDUFAF3
2,HMGCS2
2,MT-ND4
2,ABAT
2,C7orf55
2,PCCB
2,PLP1
2,CARS2
2,PRODH
2,CLPP
2,PDK2
2,MAOB
2,GAD1
2,MPC1
2,ADSL
2,GFM1
2,GPX1
2,MLYCD
2,POLG
2,ALDH5A1
2,RRM2B
2,PHGDH
2,BCKDHA
2,PAH
2,LIAS
2,MT-ATP6
2,COX6B1
2,HSPD1
2,CTH
2,D2HGDH
2,AASS
2,DDC
2,AFG3L2
2,COQ9
2,PDHA1
2,MT-ND5
2,SUCLA2
2,SDHD
2,OTC
2,C10orf2
2,ALDH1A3
2,PDSS2
2,PEX19
2,DHFR
2,HADHA
2,MT-ATP8
2,ADA
2,TPO
2,GLDC
2,GUCY1A3
2,MOCS2
2,GUCY1A2
2,INPP1
2,MRI1
2,DARS2
2,CPT2
2,PEX14
2,FASN
2,NDUFAF6
2,NUBPL
2,BOLA3
2,TK2
2,PCCA
2,ACOT7
2,GPT2
2,DST
2,PC
2,CYP27A1
2,NDUFA2
2,INPP4A
2,IDH2
2,DHCR24
2,FBXO33
2,BCKDK
2,NDUFS4
2,OCA2
2,PEX2
2,SCP2
2,AIMP1
2,MCCC2
2,GCH1
2,MTR
2,ATIC
2,ACY1
2,EBP
2,HSD17B4
2,AGPS
2,COQ2
2,QDPR
2,ME2
2,VARS2
2,TDO2
2,PGM3
2,SCO2
2,EPPK1
2,FAR1
2,ETFDH
2,KARS
2,PURA
2,NDUFA5
2,COX10
2,ITPA
2,COQ4
2,PDE10A
2,PPP1R3C
2,PEX3
2,MT-ND1
2,HADHB
2,MT-CYB
2,PGK1
2,QARS
2,ASNS
2,ACOX1
2,APOPT1
2,GLUL
2,SOD1
2,PNPO
2,NDUFB11
2,AARS
2,PEX13
2,ALDH7A1
2,ETHE1
2,GSTM1
2,AMPD2
2,MTO1
2,ACMSD
2,GYS1
2,PET100
2,LRPPRC
2,ATP5A1
3,NPRL3
3,KCNA1
3,ZNF804A
3,CACNB4
3,KCNMB3
3,KCNJ5
3,SCNM1
3,GRIA2
3,HEPACAM
3,CIB2
3,THAP1
3,CLCN6
3,CLSTN1
3,GABRA3
3,EEF1A2
3,SCN8A
3,HCN2
3,KCNH2
3,GABRB1
3,DEPDC5
3,GLRA1
3,CHRNA7
