HPO,p_val,module
HP:0000002,0.0,1
HP:0000003,0.0004,1
HP:0000008,0.0,1
HP:0000009,0.0,1
HP:0000010,0.0,1
HP:0000011,0.1557,1
HP:0000012,0.1933,1
HP:0000013,0.0,1
HP:0000014,0.0,1
HP:0000015,0.0005,1
HP:0000016,0.0,1
HP:0000017,0.2912,1
HP:0000019,0.0,1
HP:0000020,0.0,1
HP:0000021,0.0,1
HP:0000022,0.0,1
HP:0000023,0.0,1
HP:0000024,0.0,1
HP:0000025,0.0,1
HP:0000026,0.0,1
HP:0000027,0.0,1
HP:0000028,0.0,1
HP:0000029,0.1125,1
HP:0000031,0.0,1
HP:0000032,0.0,1
HP:0000033,0.1111,1
HP:0000034,0.0003,1
HP:0000035,0.0,1
HP:0000036,0.0,1
HP:0000037,0.0,1
HP:0000039,0.0,1
HP:0000040,0.0,1
HP:0000041,0.0,1
HP:0000042,0.0,1
HP:0000044,0.0,1
HP:0000045,0.0002,1
HP:0000046,0.0795,1
HP:0000047,0.0,1
HP:0000048,0.0131,1
HP:0000049,0.0133,1
HP:0000050,0.0,1
HP:0000051,0.0,1
HP:0000053,0.0,1
HP:0000054,0.0,1
HP:0000055,0.0,1
HP:0000056,0.0,1
HP:0000058,0.0,1
HP:0000059,0.0,1
HP:0000060,0.0,1
HP:0000061,0.1217,1
HP:0000062,0.0,1
HP:0000063,0.0102,1
HP:0000064,0.0,1
HP:0000065,0.1075,1
HP:0000066,0.0,1
HP:0000068,0.0103,1
HP:0000069,0.0,1
HP:0000070,0.084,1
HP:0000071,0.0622,1
HP:0000072,0.0,1
HP:0000073,0.0,1
HP:0000074,0.2945,1
HP:0000075,0.0,1
HP:0000076,0.0001,1
HP:0000077,0.0,1
HP:0000078,0.0,1
HP:0000079,0.0,1
HP:0000080,0.0,1
HP:0000081,0.0236,1
HP:0000083,0.0,1
HP:0000085,0.0,1
HP:0000086,0.0015,1
HP:0000089,0.0004,1
HP:0000090,0.0119,1
HP:0000091,0.0022,1
HP:0000092,0.0,1
HP:0000093,0.0,1
HP:0000095,0.0,1
HP:0000096,0.0,1
HP:0000097,0.0,1
HP:0000098,0.0,1
HP:0000099,0.0,1
HP:0000100,0.0,1
HP:0000103,0.0459,1
HP:0000104,0.0,1
HP:0000105,0.0031,1
HP:0000107,0.0,1
HP:0000108,0.0,1
HP:0000110,0.0005,1
HP:0000111,0.8991,1
HP:0000112,0.0,1
HP:0000113,0.0029,1
HP:0000114,0.1079,1
HP:0000117,0.0,1
HP:0000118,0.0,1
HP:0000119,0.0,1
HP:0000121,0.0,1
HP:0000122,0.0,1
HP:0000123,0.0,1
HP:0000124,0.0439,1
HP:0000125,0.0,1
HP:0000126,0.0,1
HP:0000127,0.0157,1
HP:0000128,0.3106,1
HP:0000130,0.0,1
HP:0000131,0.0,1
HP:0000132,0.0,1
HP:0000133,0.0,1
HP:0000134,0.0,1
HP:0000135,0.0,1
HP:0000136,0.0,1
HP:0000137,0.0,1
HP:0000138,0.0,1
HP:0000139,0.1085,1
HP:0000140,0.0,1
HP:0000141,0.0,1
HP:0000142,0.0,1
HP:0000143,0.0,1
HP:0000144,0.0,1
HP:0000145,0.0043,1
HP:0000147,0.0,1
HP:0000148,0.0,1
HP:0000149,0.0,1
