module,label,pval,phenotype_name
1,BD_genes,2.4002910377143035e-10,
1,DE_genes,4.722165941661345e-20,
1,HP:0000717,3.0642837232063626e-06,Autism
1,HP:0000723,0.013409376713490169,Restrictive behavior
1,HP:0000728,1.0,Impaired ability to form peer relationships
1,HP:0000729,3.1975506504053803e-09,Autistic behavior
1,HP:0000735,0.1202766838748042,Impaired social interactions
1,HP:0000753,1.0,
1,HP:0000758,1.0,Impaired use of nonverbal behaviors
1,HP:0000817,0.053433273061265586,Poor eye contact
1,HP:0001250,1.180162749508342e-29,Seizure
1,HP:0001327,1.0,Photosensitive myoclonic seizure
1,HP:0002069,4.843913058246039e-07,Bilateral tonic-clonic seizure
1,HP:0002121,7.2700610350625975e-09,Generalized non-motor (absence) seizure
1,HP:0002123,0.03961974775798742,Generalized myoclonic seizure
1,HP:0002133,0.00012235625941267402,Status epilepticus
1,HP:0002173,0.0011345077756086284,Hypoglycemic seizures
1,HP:0002197,3.7705553942696114e-08,Generalized-onset seizure
1,HP:0002199,1.0,Hypocalcemic seizures
1,HP:0002266,0.1640784530533811,Focal clonic seizure
1,HP:0002332,1.0,Lack of peer relationships
1,HP:0002349,1.0,Focal aware seizure
1,HP:0002373,0.0018053135366827356,Febrile seizure (within the age range of 3 months to 6 years)
1,HP:0002384,2.400180540949983e-06,Focal impaired awareness seizure
1,HP:0006813,1.0,Focal hemiclonic seizure
1,HP:0007193,1.0,Generalized tonic-clonic seizures on awakening
1,HP:0007207,1.0,Photosensitive tonic-clonic seizure
1,HP:0007270,0.023942044728931963,Atypical absence seizure
1,HP:0007332,1.0,Focal hemifacial clonic seizure
1,HP:0007334,0.19861422152293992,Bilateral tonic-clonic seizure with focal onset
1,HP:0007359,4.843913058246039e-07,Focal-onset seizure
1,HP:0008763,1.0,No social interaction
1,HP:0010818,0.0007975066931336825,Generalized tonic seizure
1,HP:0010819,0.0015907499113905052,Atonic seizure
1,HP:0010820,1.0,
1,HP:0010821,1.0,Focal emotional seizure with laughing
1,HP:0011097,0.0004069977878097956,Epileptic spasm
