HPO,p_val,module
HP:0000002,0.0,1
HP:0000003,0.0846,1
HP:0000008,0.0,1
HP:0000009,0.0133,1
HP:0000010,0.0,1
HP:0000011,0.8876,1
HP:0000012,0.6049,1
HP:0000013,0.0556,1
HP:0000014,0.0012,1
HP:0000015,0.0,1
HP:0000016,0.0006,1
HP:0000017,1.0,1
HP:0000019,0.2255,1
HP:0000020,0.2544,1
HP:0000021,0.0679,1
HP:0000022,0.0014,1
HP:0000023,0.0,1
HP:0000024,0.2495,1
HP:0000025,0.0,1
HP:0000026,0.0002,1
HP:0000027,0.0,1
HP:0000028,0.0,1
HP:0000029,0.7189,1
HP:0000031,0.0,1
HP:0000032,0.0,1
HP:0000033,0.6446,1
HP:0000034,0.029,1
HP:0000035,0.0,1
HP:0000036,0.0,1
HP:0000037,0.0845,1
HP:0000039,0.0001,1
HP:0000040,0.0001,1
HP:0000041,0.0,1
HP:0000042,0.0,1
HP:0000044,0.0,1
HP:0000045,0.0031,1
HP:0000046,0.2016,1
HP:0000047,0.0002,1
HP:0000048,0.0521,1
HP:0000049,0.0053,1
HP:0000050,0.0,1
HP:0000051,0.2358,1
HP:0000053,0.0453,1
HP:0000054,0.0501,1
HP:0000055,0.1214,1
HP:0000056,0.0037,1
HP:0000058,0.1123,1
HP:0000059,0.1335,1
HP:0000060,0.013,1
HP:0000061,0.364,1
HP:0000062,0.0006,1
HP:0000063,0.0432,1
HP:0000064,0.3509,1
HP:0000065,0.1498,1
HP:0000066,0.138,1
HP:0000068,0.2105,1
HP:0000069,0.0004,1
HP:0000070,0.216,1
HP:0000071,0.1616,1
HP:0000072,0.0003,1
HP:0000073,0.0013,1
HP:0000074,0.5116,1
HP:0000075,0.0,1
HP:0000076,0.056,1
HP:0000077,0.0,1
HP:0000078,0.0,1
HP:0000079,0.0,1
HP:0000080,0.0,1
HP:0000081,0.3524,1
HP:0000083,0.0,1
HP:0000085,0.0434,1
HP:0000086,0.183,1
HP:0000089,0.1107,1
HP:0000090,0.4329,1
HP:0000091,0.3102,1
HP:0000092,0.0019,1
HP:0000093,0.0023,1
HP:0000095,0.0,1
HP:0000096,0.0416,1
HP:0000097,0.101,1
HP:0000098,0.0,1
HP:0000099,0.1158,1
HP:0000100,0.0,1
HP:0000103,0.3771,1
HP:0000104,0.002,1
HP:0000105,0.0164,1
HP:0000107,0.0852,1
HP:0000108,0.054,1
HP:0000110,0.0276,1
HP:0000111,0.9996,1
HP:0000112,0.0591,1
HP:0000113,0.174,1
HP:0000114,0.5243,1
HP:0000117,0.001,1
HP:0000118,0.0,1
HP:0000119,0.0,1
HP:0000121,0.0025,1
HP:0000122,0.0051,1
HP:0000123,0.0003,1
HP:0000124,0.4472,1
HP:0000125,0.0016,1
HP:0000126,0.0034,1
HP:0000127,0.3231,1
HP:0000128,0.9975,1
HP:0000130,0.0,1
HP:0000131,0.0,1
HP:0000132,0.0,1
HP:0000133,0.0,1
HP:0000134,0.0002,1
HP:0000135,0.0004,1
HP:0000136,0.2761,1
HP:0000137,0.0,1
HP:0000138,0.0,1
HP:0000139,0.0,1
HP:0000140,0.0,1
HP:0000141,0.0027,1
HP:0000142,0.0001,1
HP:0000143,0.0,1
HP:0000144,0.0,1
HP:0000145,0.5673,1
HP:0000147,0.0002,1
HP:0000148,0.0032,1
HP:0000149,0.0007,1
HP:0000150,0.1185,1
HP:0000151,0.4709,1
HP:0000152,0.0,1
HP:0000153,0.0,1
HP:0000154,0.0192,1
HP:0000155,0.0699,1
HP:0000157,0.0045,1
HP:0000158,0.0284,1
HP:0000159,0.0,1
HP:0000160,0.0,1
HP:0000161,0.0058,1
HP:0000162,0.1034,1
HP:0000163,0.0,1
HP:0000164,0.0,1
HP:0000166,0.1129,1
HP:0000168,0.0,1
HP:0000169,0.0011,1
HP:0000171,0.1348,1
HP:0000172,0.0,1
HP:0000174,0.0,1
HP:0000175,0.0,1
HP:0000176,0.0,1
HP:0000177,0.0001,1
HP:0000178,0.0,1
HP:0000179,0.0,1
HP:0000180,0.201,1
HP:0000182,0.1314,1
HP:0000183,0.1188,1
HP:0000185,0.0676,1
HP:0000187,0.2236,1
HP:0000188,0.4206,1
HP:0000189,0.0,1
HP:0000190,0.0,1
HP:0000191,0.3105,1
HP:0000193,0.0,1
HP:0000194,0.0054,1
HP:0000196,0.1196,1
HP:0000197,0.0,1
HP:0000198,0.0,1
HP:0000199,0.2223,1
HP:0000200,0.1242,1
HP:0000201,0.0,1
HP:0000202,0.0,1
HP:0000204,0.0001,1
HP:0000205,0.0,1
HP:0000206,0.9777,1
HP:0000207,0.2448,1
HP:0000211,0.0006,1
HP:0000212,0.0388,1
HP:0000214,0.0165,1
HP:0000215,0.0002,1
HP:0000216,0.0138,1
HP:0000217,0.0,1
HP:0000218,0.0,1
HP:0000219,0.2189,1
HP:0000220,0.1213,1
HP:0000221,0.0034,1
HP:0000222,0.0,1
HP:0000223,0.6682,1
HP:0000224,0.6682,1
HP:0000225,0.0,1
HP:0000227,0.0165,1
HP:0000228,0.0165,1
HP:0000230,0.0,1
HP:0000232,0.0,1
HP:0000233,0.0927,1
HP:0000234,0.0,1
HP:0000235,0.0,1
HP:0000236,0.0,1
HP:0000237,0.9159,1
HP:0000238,0.0,1
HP:0000239,0.0001,1
HP:0000240,0.0,1
HP:0000242,0.0,1
HP:0000243,0.001,1
HP:0000244,0.0,1
HP:0000245,0.0,1
HP:0000246,0.0,1
HP:0000248,0.0011,1
HP:0000250,0.9982,1
HP:0000252,0.3433,1
HP:0000253,0.9125,1
HP:0000256,0.0,1
HP:0000260,0.0,1
HP:0000262,0.0,1
HP:0000263,0.0,1
HP:0000264,0.0503,1
HP:0000265,0.0686,1
HP:0000267,0.0001,1
HP:0000268,0.0102,1
HP:0000269,0.0,1
HP:0000270,0.0,1
HP:0000271,0.0,1
HP:0000272,0.0,1
HP:0000273,0.3222,1
HP:0000274,0.0002,1
HP:0000275,0.0232,1
HP:0000276,0.0001,1
HP:0000277,0.0,1
HP:0000278,0.0058,1
HP:0000280,0.0,1
HP:0000282,0.0004,1
HP:0000283,0.1248,1
HP:0000286,0.0,1
HP:0000287,0.0003,1
HP:0000288,0.0001,1
HP:0000289,0.4367,1
HP:0000290,0.0,1
HP:0000291,0.952,1
HP:0000292,0.9895,1
HP:0000293,0.0,1
HP:0000294,0.0496,1
HP:0000295,0.5029,1
HP:0000297,0.6155,1
HP:0000298,0.1291,1
HP:0000300,0.1751,1
HP:0000301,0.0076,1
HP:0000303,0.0,1
HP:0000306,0.0,1
HP:0000307,0.0002,1
HP:0000308,0.1399,1
HP:0000309,0.0,1
HP:0000311,0.0,1
HP:0000315,0.0,1
HP:0000316,0.0,1
HP:0000317,0.0006,1
HP:0000319,0.0544,1
HP:0000320,0.0,1
HP:0000321,0.1321,1
HP:0000322,0.2326,1
HP:0000324,0.0,1
HP:0000325,0.0,1
HP:0000326,0.0,1
HP:0000327,0.0,1
HP:0000329,0.4453,1
HP:0000331,0.0047,1
HP:0000336,0.0,1
HP:0000337,0.0,1
HP:0000338,0.773,1
HP:0000339,0.0,1
HP:0000340,0.7874,1
HP:0000341,0.0416,1
HP:0000343,0.0,1
HP:0000346,0.0,1
HP:0000347,0.0,1
HP:0000348,0.0,1
HP:0000349,0.0163,1
HP:0000350,0.792,1
HP:0000356,0.0,1
HP:0000357,0.0,1
HP:0000358,0.0,1
HP:0000359,0.0,1
HP:0000360,0.0449,1
HP:0000362,0.0,1
HP:0000363,0.0002,1
HP:0000364,0.0,1
HP:0000365,0.0,1
HP:0000366,0.0,1
HP:0000368,0.0,1
HP:0000369,0.0,1
HP:0000370,0.0,1
HP:0000372,0.0001,1
HP:0000375,0.9995,1
HP:0000376,0.999,1
HP:0000377,0.0,1
HP:0000378,0.1499,1
HP:0000381,0.0,1
HP:0000383,0.0055,1
HP:0000384,0.0251,1
HP:0000385,0.2216,1
HP:0000387,0.0395,1
HP:0000388,0.0,1
HP:0000389,0.0,1
HP:0000391,0.0,1
HP:0000394,0.1198,1
HP:0000395,0.3429,1
HP:0000396,0.0805,1
HP:0000399,0.1135,1
