module,gene
1,TSC1
1,PHF2
1,MED13L
1,FBXL6
1,PTEN
1,ARID1B
1,MAP3K1
1,SMARCC2
1,PI4K2A
1,IRF2BPL
1,PAX5
1,TCF4
1,MED12
1,BAIAP3
1,TBL1XR1
1,RORB
1,POLR3C
1,NCOA1
1,PPARG
1,GTF3C4
1,CSNK2B
1,LDB1
1,DNMT3A
1,ARID3C
1,HSD17B4
1,CTNNB1
1,TCF7L2
1,JUN
1,ATN1
1,CREBBP
2,GABRB2
2,ANK2
2,GRIA2
2,LGI1
2,CACNA1G
2,KCNJ14
2,KCNQ3
2,KCNT2
2,GABRG2
2,CACNA1E
2,CACNG2
2,SCN2A
2,KCNB1
2,GABRA1
2,KCNMA1
2,NRXN1
2,CHD2
2,STXBP1
2,SLC6A1
2,MAP1A
2,EEF1A2
2,DLG4
2,CACNA2D3
2,TOR1A
2,GABRB3
2,GRIN2B
2,SCN1A
2,SYNGAP1
2,SCN8A
2,KCNQ4
3,ADCY9
3,ITGB6
3,GNAI1
3,TEK
3,NRG3
3,SLC6A2
3,ATP6V1C2
3,SLC6A7
3,SRPR
3,EGFR
3,PTPRG
3,HK3
3,SLC9A1
3,AP2S1
3,HTR5A
3,ADCY10
3,CORO1A
3,HGS
3,SEC61A2
3,SLC7A9
3,SLC5A8
3,CD101
3,ITGA6
3,LDLR
3,LRIG2
3,SLC22A2
4,SKI
4,KDM5B
4,MSH3
4,GTPBP2
4,STK39
4,AGO1
4,CC2D1A
4,TOM1L2
4,NSD1
4,TBR1
4,FOXP2
4,KMT2C
4,PHF21A
4,DIP2A
4,ASH1L
4,SETD5
4,KDM6B
4,SIN3A
4,KMT5B
4,KMT2E
4,PHF12
4,SETD2
4,TECR
4,PASK
5,ARL8A
5,IQGAP2
5,MYH3
5,PPP2R5D
5,TAOK1
5,EIF3G
5,DNAJC13
5,EIF4G1
5,MARK3
5,FXR1
5,SRRM2
5,SH2D3C
5,NUP155
5,CELF4
5,GFAP
5,SPEN
5,TFIP11
5,ELAVL3
5,EIF4A3
5,EIF3A
6,GBF1
6,NR3C2
6,ZMYND8
6,GGA2
6,TFB2M
6,DNAH17
6,TNPO1
6,DNAH8
6,DNAH3
6,CTSA
6,MYO10
6,UNC13D
6,BBS1
6,ARFGEF1
6,DYNC1H1
7,DYRK1A
7,DGKD
7,SHANK2
7,INPPL1
7,L3MBTL4
7,MBD5
7,PPFIA3
7,POGZ
7,SHANK3
7,ADNP
7,PPFIBP2
7,CHD8
8,RAD51C
8,KAT5
8,EYA4
8,STIL
8,CDK5RAP2
8,RNF168
8,ATR
8,PPP5C
8,ATM
9,ZNF668
9,VEZF1
9,ZNF587
9,ZNF416
9,BCL11A
9,GLI1
9,ZNF282
9,ZNF226
9,ZNF30
10,HECW2
10,UBR1
10,CUL7
10,RC3H2
10,TRAF7
10,ASXL3
10,TRIP12
11,GLDC
11,AGXT2
11,ALDH7A1
11,PCCB
11,MBOAT2
11,CEPT1
12,POC1A
12,AMBRA1
12,CDC20B
12,WDR59
12,WDR35
12,DEPDC5
13,RAB40C
13,TRIM3
13,MEFV
13,TRIM23
13,MYO5C
14,RBM4
14,RAI1
14,DEAF1
14,LRRFIP2
15,RINL
15,MCF2L2
15,TYR
15,HPS3
16,HDLBP
16,NPC1L1
16,LMF2
17,SPAST
17,ATAD3B
18,TRIOBP
18,INSC
19,PSG4
19,CADM4
20,LRRC4C
20,DSCAM
21,TCF20
21,WAC
22,CDAN1
23,PLEKHG5
24,GSTA1
25,QSOX2
26,RFX3
27,CNN3
28,CLK1
29,MST1
30,TRPM6
31,GIGYF1
32,TLK2
33,ELTD1
34,F13B
35,RECQL5
36,MEI1
37,STOX1
38,LETM2
39,NEBL
40,ACAT1
41,FOXP1
42,HECTD4
43,POM121L12
44,CYP4F11
45,NEXMIF
46,SEPN1
47,PTK7
48,GTPBP6
49,CMTR2
50,THSD7A
51,TRMT61B
52,LASP1
53,TSPAN11
54,PPP1R9B
55,SATB1
56,MYT1L
57,ATP9B
58,SCUBE3
59,CRIPAK
60,KIAA0232
61,HSF4
62,MAP3K4
63,TM9SF4
64,NACC1
65,DDIAS
66,GPRC5C
67,COBLL1
68,DPYSL2
69,LYZL2
70,CMTM1
71,TCTE1
72,ASGR2
73,MBNL2
74,SYNE2
75,PRR12
76,AAGAB
77,DHTKD1
78,UNC79
79,CCDC66
80,METTL20
81,MKX
82,FDXR
83,ANKRD11
84,MTMR11
85,C1orf177
86,LY75-CD302
87,ANKRD13B
88,GAL3ST3
89,RECK
90,COLQ
91,COL6A2
92,M1AP
93,KIAA1919
94,ATXN7
95,MTRF1
