module,label,pval,phenotype_name
1,BD_genes,0.007172006484586863,
1,DE_genes,9.7272070156731e-10,
1,HP:0000717,7.19111683771471e-06,Autism
1,HP:0000723,1.0,Restrictive behavior
1,HP:0000728,1.0,Impaired ability to form peer relationships
1,HP:0000729,6.251818956419224e-07,Autistic behavior
1,HP:0000735,0.013393696130421882,Impaired social interactions
1,HP:0000753,1.0,
1,HP:0000758,1.0,Impaired use of nonverbal behaviors
1,HP:0000817,1.0,Poor eye contact
1,HP:0001250,4.459594146454297e-09,Seizure
1,HP:0001327,1.0,Photosensitive myoclonic seizure
1,HP:0002069,0.04313944772381182,Bilateral tonic-clonic seizure
1,HP:0002121,0.015449982081822583,Generalized non-motor (absence) seizure
1,HP:0002123,1.0,Generalized myoclonic seizure
1,HP:0002133,0.1952689471688286,Status epilepticus
1,HP:0002173,1.0,Hypoglycemic seizures
1,HP:0002197,0.06665911632144977,Generalized-onset seizure
1,HP:0002199,1.0,Hypocalcemic seizures
1,HP:0002266,1.0,Focal clonic seizure
1,HP:0002332,1.0,Lack of peer relationships
1,HP:0002349,1.0,Focal aware seizure
1,HP:0002373,1.0,Febrile seizure (within the age range of 3 months to 6 years)
1,HP:0002384,0.08531331202866307,Focal impaired awareness seizure
1,HP:0006813,1.0,Focal hemiclonic seizure
1,HP:0007193,1.0,Generalized tonic-clonic seizures on awakening
1,HP:0007207,1.0,Photosensitive tonic-clonic seizure
1,HP:0007270,1.0,Atypical absence seizure
1,HP:0007332,1.0,Focal hemifacial clonic seizure
1,HP:0007334,1.0,Bilateral tonic-clonic seizure with focal onset
1,HP:0007359,0.28355107885677866,Focal-onset seizure
1,HP:0008763,1.0,No social interaction
1,HP:0010818,1.0,Generalized tonic seizure
1,HP:0010819,1.0,Atonic seizure
1,HP:0010820,1.0,
1,HP:0010821,1.0,Focal emotional seizure with laughing
1,HP:0011097,0.17893360901471211,Epileptic spasm
1,HP:0011145,1.0,Symptomatic seizures
1,HP:0011146,0.0016945243501723772,Dialeptic seizure
1,HP:0011147,1.0,Typical absence seizure
1,HP:0011149,1.0,Absence seizure with eyelid myoclonia
1,HP:0011150,1.0,Myoclonic absence seizure
1,HP:0011151,1.0,Atypical absence status epilepticus
1,HP:0011152,1.0,
1,HP:0011153,1.0,Focal motor seizure
1,HP:0011154,1.0,Focal autonomic seizure
1,HP:0011157,1.0,Focal sensory seizure
1,HP:0011158,1.0,Focal sensory seizure with auditory features
1,HP:0011159,1.0,
1,HP:0011160,1.0,
1,HP:0011161,1.0,
1,HP:0011162,1.0,
1,HP:0011163,1.0,
1,HP:0011164,1.0,
1,HP:0011165,1.0,Focal sensory seizure with visual features
1,HP:0011166,1.0,Focal myoclonic seizure
1,HP:0011167,1.0,Focal tonic seizure
1,HP:0011168,1.0,Eyelid myoclonias
1,HP:0011169,1.0,Generalized clonic seizure
1,HP:0011170,1.0,Generalized myoclonic-atonic seizure
1,HP:0011171,1.0,Simple febrile seizure
1,HP:0011172,1.0,Complex febrile seizure
1,HP:0011173,1.0,
1,HP:0011174,1.0,
1,HP:0011175,1.0,
1,HP:0012002,1.0,Experiential auras
1,HP:0012003,1.0,
1,HP:0012004,1.0,
1,HP:0012005,1.0,
1,HP:0012006,1.0,
1,HP:0012007,1.0,
1,HP:0012008,1.0,
1,HP:0012469,0.11306608281034136,Infantile spasms
1,HP:0012847,1.0,Epilepsia partialis continua
1,HP:0020207,1.0,Reflex seizure
1,HP:0020208,1.0,Eating-induced seizure
1,HP:0020209,1.0,
1,HP:0020210,1.0,
1,HP:0020211,1.0,
1,HP:0020212,1.0,
1,HP:0020213,1.0,
1,HP:0020214,1.0,
1,HP:0020215,1.0,
1,HP:0020216,1.0,Visually-induced seizure
1,HP:0020217,1.0,
1,HP:0020218,1.0,
1,HP:0020219,0.0556180810085441,Motor seizure
1,HP:0020220,1.0,
1,HP:0020221,1.0,Clonic seizure
1,HP:0025190,1.0,Bilateral tonic-clonic seizure with generalized onset
1,HP:0025613,1.0,Focal emotional seizure
1,HP:0031165,1.0,Multifocal seizures
1,HP:0031433,1.0,
1,HP:0031475,1.0,Status epilepticus without prominent motor symptoms
1,HP:0031951,1.0,Nocturnal seizures
1,HP:0032656,1.0,
1,HP:0032658,1.0,Status epilepticus with prominent motor symptoms
1,HP:0032659,1.0,
1,HP:0032660,1.0,Convulsive status epilepticus
1,HP:0032661,1.0,
1,HP:0032662,1.0,
1,HP:0032663,1.0,Focal motor status epilepticus
1,HP:0032664,1.0,
1,HP:0032665,1.0,
1,HP:0032666,1.0,
1,HP:0032667,1.0,Myoclonic status epilepticus
1,HP:0032668,1.0,
1,HP:0032669,1.0,
1,HP:0032670,1.0,
1,HP:0032671,1.0,Non-convulsive status epilepticus without coma
1,HP:0032672,1.0,
1,HP:0032673,1.0,
1,HP:0032677,1.0,Generalized-onset motor seizure
1,HP:0032678,1.0,Eyelid myoclonia seizure
1,HP:0032679,1.0,Focal non-motor seizure
1,HP:0032680,1.0,
1,HP:0032681,1.0,
1,HP:0032682,1.0,
1,HP:0032684,1.0,
1,HP:0032685,1.0,
1,HP:0032686,1.0,
1,HP:0032687,1.0,
1,HP:0032688,1.0,
1,HP:0032689,1.0,
1,HP:0032690,1.0,
1,HP:0032691,1.0,
1,HP:0032692,1.0,
1,HP:0032693,1.0,
1,HP:0032694,1.0,
1,HP:0032695,1.0,
1,HP:0032696,1.0,
1,HP:0032697,1.0,
1,HP:0032698,1.0,
1,HP:0032699,1.0,
1,HP:0032700,1.0,
1,HP:0032701,1.0,
1,HP:0032702,1.0,
1,HP:0032703,1.0,
1,HP:0032704,1.0,
1,HP:0032705,1.0,
1,HP:0032706,1.0,
1,HP:0032707,1.0,
1,HP:0032708,1.0,
1,HP:0032709,1.0,
1,HP:0032710,1.0,
1,HP:0032711,1.0,
1,HP:0032712,1.0,
1,HP:0032713,1.0,
1,HP:0032714,1.0,
1,HP:0032715,1.0,
1,HP:0032716,1.0,
1,HP:0032717,1.0,
1,HP:0032718,1.0,
1,HP:0032719,1.0,
1,HP:0032720,1.0,
1,HP:0032721,1.0,
1,HP:0032722,1.0,
1,HP:0032723,1.0,
1,HP:0032724,1.0,
1,HP:0032725,1.0,
1,HP:0032726,1.0,
1,HP:0032727,1.0,
1,HP:0032728,1.0,
1,HP:0032729,1.0,
1,HP:0032730,1.0,
1,HP:0032731,1.0,
1,HP:0032732,1.0,
1,HP:0032733,1.0,
1,HP:0032734,1.0,
1,HP:0032735,1.0,
1,HP:0032736,1.0,
1,HP:0032737,1.0,
1,HP:0032738,1.0,
1,HP:0032739,1.0,
1,HP:0032740,1.0,
1,HP:0032741,1.0,
1,HP:0032742,1.0,
1,HP:0032743,1.0,
1,HP:0032744,1.0,
1,HP:0032745,1.0,
1,HP:0032746,1.0,
1,HP:0032747,1.0,
1,HP:0032748,1.0,
1,HP:0032749,1.0,
