module,gene
1,KCNQ4
1,KCNB1
1,SCN1A
1,GABRB3
1,KCNMA1
1,GRIN2B
1,CACNA1E
1,CACNA2D3
1,STXBP1
1,EEF1A2
1,GABRB2
1,SCN8A
1,SLC6A1
1,CHD2
1,KCNJ14
1,KCNQ3
1,SYNGAP1
1,GABRA1
1,KCNT2
1,HSD17B4
1,IRF2BPL
1,TOR1A
1,ANK2
1,GABRG2
1,CACNG2
1,DLG4
1,SCN2A
2,ADCY9
2,CTNNB1
2,PPP5C
2,RAD51C
2,TEK
2,TCF7L2
2,CD101
2,GTF3C4
2,HK3
2,ATP6V1C2
2,KAT5
2,EGFR
2,PPP2R5D
2,JUN
2,CSNK2B
2,GNAI1
2,NCOA1
2,CREBBP
2,PTEN
3,CORO1A
3,TECR
3,ATR
3,CDK5RAP2
3,HGS
3,KDM5B
3,FOXP2
3,SEC61A2
3,STIL
3,CC2D1A
4,GRIA2
4,PPFIBP2
4,PPFIA3
4,DGKD
4,CHD8
4,INPPL1
4,HTR5A
4,SHANK2
4,SHANK3
4,L3MBTL4
5,ASH1L
5,ARID3C
5,KMT2E
5,PHF2
5,SETD2
5,SMARCC2
5,NSD1
5,ARID1B
5,KMT2C
5,KDM6B
6,VEZF1
6,ZNF587
6,GLI1
6,ZNF226
6,BCL11A
6,ZNF668
6,ZNF282
6,ZNF30
6,ZNF416
7,CELF4
7,EIF3A
7,EIF3G
7,SPEN
7,ELAVL3
7,FXR1
8,AMBRA1
8,TBL1XR1
8,CDC20B
8,POC1A
8,WDR35
8,WDR59
9,SLC22A2
9,SLC6A7
9,SLC6A2
9,SLC7A9
9,SLC9A1
9,SLC5A8
10,KMT5B
10,SETD5
10,MBD5
10,POGZ
10,DYRK1A
11,GLDC
11,CEPT1
11,PCCB
11,AGXT2
11,MBOAT2
12,RAB40C
12,TRIM23
12,TRIM3
12,MYO5C
12,MEFV
13,DEAF1
13,RBM4
13,RAI1
13,LRRFIP2
14,HPS3
14,MCF2L2
14,RINL
14,TYR
15,DNAH3
15,ZMYND8
15,DNAH8
15,DNAH17
16,BBS1
16,GBF1
16,TFB2M
16,TNPO1
17,NPC1L1
17,LMF2
17,HDLBP
18,DIP2A
18,PHF21A
18,PHF12
19,LDB1
19,PAX5
19,BAIAP3
20,MAP3K1
20,RORB
21,ARFGEF1
21,MYO10
22,ASXL3
22,HECW2
23,CTSA
23,GGA2
24,DSCAM
24,LRRC4C
25,CADM4
25,PSG4
26,ATAD3B
26,SPAST
27,IQGAP2
27,ARL8A
28,STK39
28,ITGB6
29,TBR1
29,GTPBP2
30,DNAJC13
30,EIF4G1
31,INSC
31,TRIOBP
32,WAC
32,TCF20
33,FBXL6
33,TSC1
34,CDAN1
35,PLEKHG5
36,GSTA1
37,EYA4
38,QSOX2
39,PTPRG
40,RFX3
41,MED13L
42,TRAF7
43,TAOK1
44,CNN3
45,CLK1
46,MST1
47,TRPM6
48,GIGYF1
49,DEPDC5
50,ATN1
51,DYNC1H1
52,TLK2
53,ELTD1
54,F13B
55,RECQL5
56,TRIP12
57,MEI1
58,STOX1
59,LETM2
60,GFAP
61,NEBL
62,ACAT1
63,FOXP1
64,SH2D3C
65,MYH3
66,RNF168
67,SRPR
68,LRIG2
69,NR3C2
70,LGI1
71,HECTD4
72,POM121L12
73,CYP4F11
74,NEXMIF
75,SEPN1
76,PTK7
77,GTPBP6
78,ITGA6
79,CMTR2
80,THSD7A
81,TRMT61B
82,LASP1
83,TSPAN11
84,PPP1R9B
85,TFIP11
86,SATB1
87,MYT1L
88,TOM1L2
89,ATP9B
90,SCUBE3
91,CRIPAK
92,KIAA0232
93,HSF4
94,PI4K2A
95,MAP3K4
96,TM9SF4
97,NUP155
98,CACNA1G
99,NACC1
100,NRG3
101,MARK3
102,NRXN1
103,DDIAS
104,PASK
105,GPRC5C
106,ADNP
107,COBLL1
108,UBR1
109,SIN3A
110,POLR3C
111,DPYSL2
112,LYZL2
113,CMTM1
114,TCTE1
115,ASGR2
116,AGO1
117,MBNL2
118,SKI
119,SYNE2
120,AP2S1
121,PRR12
122,TCF4
123,AAGAB
124,DHTKD1
125,UNC79
126,MAP1A
127,PPARG
128,ALDH7A1
129,CCDC66
130,RC3H2
131,LDLR
132,METTL20
133,MKX
134,MSH3
135,FDXR
136,ANKRD11
137,MTMR11
138,C1orf177
139,LY75-CD302
140,DNMT3A
141,ANKRD13B
142,GAL3ST3
143,EIF4A3
144,ATM
145,SRRM2
146,RECK
147,UNC13D
148,COLQ
149,COL6A2
150,CUL7
151,MED12
152,M1AP
153,ADCY10
154,KIAA1919
155,ATXN7
156,MTRF1
