module,label,pval,phenotype_name
1,BD_genes,0.002057131452482272,
1,DE_genes,7.858687477385344e-06,
1,HP:0000717,0.9999782465592203,Autism
1,HP:0000723,0.8148022571526959,Restrictive behavior
1,HP:0000728,1.0,Impaired ability to form peer relationships
1,HP:0000729,,Autistic behavior
1,HP:0000735,0.9999859498262135,Impaired social interactions
1,HP:0000753,1.0,
1,HP:0000758,1.0,Impaired use of nonverbal behaviors
1,HP:0000817,0.999898060469101,Poor eye contact
1,HP:0001250,,Seizure
1,HP:0001327,0.00044225603985696953,Photosensitive myoclonic seizure
1,HP:0002069,0.9999689595132019,Bilateral tonic-clonic seizure
1,HP:0002121,0.3224423370646883,Generalized non-motor (absence) seizure
1,HP:0002123,0.866741524723565,Generalized myoclonic seizure
1,HP:0002133,0.2652296065970871,Status epilepticus
1,HP:0002173,1.0,Hypoglycemic seizures
1,HP:0002197,0.9999999999997465,Generalized-onset seizure
1,HP:0002199,1.0,Hypocalcemic seizures
1,HP:0002266,0.00026107217675194424,Focal clonic seizure
1,HP:0002332,1.0,Lack of peer relationships
1,HP:0002349,0.00966280680214708,Focal aware seizure
1,HP:0002373,0.19763118572515906,Febrile seizure (within the age range of 3 months to 6 years)
1,HP:0002384,0.2669665239431607,Focal impaired awareness seizure
1,HP:0006813,0.00044225603985696953,Focal hemiclonic seizure
1,HP:0007193,1.0,Generalized tonic-clonic seizures on awakening
1,HP:0007207,0.0001609723721083003,Photosensitive tonic-clonic seizure
1,HP:0007270,4.1644979505784184e-05,Atypical absence seizure
1,HP:0007332,0.3211842542767347,Focal hemifacial clonic seizure
1,HP:0007334,0.03233392024345459,Bilateral tonic-clonic seizure with focal onset
1,HP:0007359,0.9999950689459431,Focal-onset seizure
1,HP:0008763,1.0,No social interaction
1,HP:0010818,0.0048602576193437965,Generalized tonic seizure
1,HP:0010819,0.05224401870880648,Atonic seizure
1,HP:0010820,1.0,
1,HP:0010821,1.0,Focal emotional seizure with laughing
1,HP:0011097,0.9998220038700036,Epileptic spasm
1,HP:0011145,1.0,Symptomatic seizures
1,HP:0011146,0.7587318782404956,Dialeptic seizure
1,HP:0011147,0.06932033657464502,Typical absence seizure
1,HP:0011149,1.0,Absence seizure with eyelid myoclonia
1,HP:0011150,0.00044225603985696953,Myoclonic absence seizure
1,HP:0011151,0.12675196274323683,Atypical absence status epilepticus
1,HP:0011152,1.0,
1,HP:0011153,0.042933088249550284,Focal motor seizure
1,HP:0011154,0.1755241345684735,Focal autonomic seizure
1,HP:0011157,0.40936959711143367,Focal sensory seizure
1,HP:0011158,1.0,Focal sensory seizure with auditory features
1,HP:0011159,1.0,
1,HP:0011160,1.0,
1,HP:0011161,1.0,
1,HP:0011162,1.0,
1,HP:0011163,1.0,
1,HP:0011164,1.0,
1,HP:0011165,1.0,Focal sensory seizure with visual features
1,HP:0011166,1.0,Focal myoclonic seizure
1,HP:0011167,0.04002847921504661,Focal tonic seizure
1,HP:0011168,1.0,Eyelid myoclonias
1,HP:0011169,0.007791475006125222,Generalized clonic seizure
1,HP:0011170,0.04348690375373712,Generalized myoclonic-atonic seizure
1,HP:0011171,0.018929110822459492,Simple febrile seizure
1,HP:0011172,0.00037861944497404195,Complex febrile seizure
1,HP:0011173,1.0,
1,HP:0011174,1.0,
1,HP:0011175,1.0,
1,HP:0012002,0.1755241345684735,Experiential auras
1,HP:0012003,1.0,
1,HP:0012004,1.0,
1,HP:0012005,1.0,
1,HP:0012006,1.0,
1,HP:0012007,1.0,
1,HP:0012008,1.0,
1,HP:0012469,0.9893003817356649,Infantile spasms
1,HP:0012847,0.0014215867564256956,Epilepsia partialis continua
1,HP:0020207,4.1644979505784184e-05,Reflex seizure
1,HP:0020208,0.09183673469385441,Eating-induced seizure
1,HP:0020209,1.0,
1,HP:0020210,1.0,
1,HP:0020211,1.0,
1,HP:0020212,1.0,
1,HP:0020213,1.0,
1,HP:0020214,1.0,
1,HP:0020215,1.0,
1,HP:0020216,0.00023756718222719828,Visually-induced seizure
1,HP:0020217,1.0,
1,HP:0020218,1.0,
1,HP:0020219,0.9999997092195846,Motor seizure
1,HP:0020220,1.0,
1,HP:0020221,0.020238279979644867,Clonic seizure
1,HP:0025190,0.0009016667996089116,Bilateral tonic-clonic seizure with generalized onset
1,HP:0025613,1.0,Focal emotional seizure
1,HP:0031165,1.0,Multifocal seizures
1,HP:0031433,1.0,
1,HP:0031475,0.016605582475542877,Status epilepticus without prominent motor symptoms
1,HP:0031951,1.0,Nocturnal seizures
1,HP:0032656,1.0,
1,HP:0032658,0.003470926035066963,Status epilepticus with prominent motor symptoms
1,HP:0032659,1.0,
1,HP:0032660,1.0,Convulsive status epilepticus
1,HP:0032661,1.0,
1,HP:0032662,1.0,
1,HP:0032663,0.0014215867564256956,Focal motor status epilepticus
1,HP:0032664,1.0,
1,HP:0032665,1.0,
1,HP:0032666,1.0,
1,HP:0032667,1.0,Myoclonic status epilepticus
1,HP:0032668,1.0,
1,HP:0032669,1.0,
1,HP:0032670,1.0,
1,HP:0032671,0.14888466904917985,Non-convulsive status epilepticus without coma
1,HP:0032672,1.0,
1,HP:0032673,1.0,
1,HP:0032677,0.9010378311003727,Generalized-onset motor seizure
1,HP:0032678,1.0,Eyelid myoclonia seizure
1,HP:0032679,0.3009768220302737,Focal non-motor seizure
1,HP:0032680,1.0,
1,HP:0032681,1.0,
1,HP:0032682,1.0,
1,HP:0032684,1.0,
1,HP:0032685,1.0,
1,HP:0032686,1.0,
1,HP:0032687,1.0,
1,HP:0032688,1.0,
1,HP:0032689,1.0,
1,HP:0032690,1.0,
1,HP:0032691,1.0,
1,HP:0032692,1.0,
1,HP:0032693,1.0,
1,HP:0032694,1.0,
1,HP:0032695,1.0,
1,HP:0032696,1.0,
1,HP:0032697,1.0,
1,HP:0032698,1.0,
1,HP:0032699,1.0,
1,HP:0032700,1.0,
1,HP:0032701,1.0,
1,HP:0032702,1.0,
1,HP:0032703,1.0,
1,HP:0032704,1.0,
1,HP:0032705,1.0,
1,HP:0032706,1.0,
1,HP:0032707,1.0,
1,HP:0032708,1.0,
1,HP:0032709,1.0,
1,HP:0032710,1.0,
1,HP:0032711,1.0,
1,HP:0032712,1.0,
1,HP:0032713,1.0,
1,HP:0032714,1.0,
1,HP:0032715,1.0,
1,HP:0032716,1.0,
1,HP:0032717,1.0,
1,HP:0032718,1.0,
1,HP:0032719,1.0,
1,HP:0032720,1.0,
1,HP:0032721,1.0,
1,HP:0032722,1.0,
1,HP:0032723,1.0,
1,HP:0032724,1.0,
1,HP:0032725,1.0,
1,HP:0032726,1.0,
1,HP:0032727,1.0,
1,HP:0032728,1.0,
1,HP:0032729,1.0,
1,HP:0032730,1.0,
1,HP:0032731,1.0,
1,HP:0032732,1.0,
1,HP:0032733,1.0,
1,HP:0032734,1.0,
1,HP:0032735,1.0,
1,HP:0032736,1.0,
1,HP:0032737,1.0,
1,HP:0032738,1.0,
1,HP:0032739,1.0,
1,HP:0032740,1.0,
1,HP:0032741,1.0,
1,HP:0032742,1.0,
1,HP:0032743,1.0,
1,HP:0032744,1.0,
1,HP:0032745,1.0,
1,HP:0032746,1.0,
1,HP:0032747,1.0,
1,HP:0032748,1.0,
1,HP:0032749,1.0,
1,HP:0032750,1.0,
1,HP:0032751,1.0,
1,HP:0032752,1.0,
1,HP:0032753,1.0,
1,HP:0032754,1.0,
1,HP:0032755,1.0,
1,HP:0032756,1.0,
1,HP:0032757,1.0,
1,HP:0032758,1.0,
1,HP:0032759,1.0,
1,HP:0032760,1.0,
1,HP:0032761,1.0,
1,HP:0032762,1.0,
1,HP:0032763,1.0,
1,HP:0032764,1.0,
1,HP:0032765,1.0,
1,HP:0032766,1.0,
1,HP:0032767,1.0,
1,HP:0032768,1.0,
1,HP:0032769,1.0,
1,HP:0032770,1.0,
1,HP:0032771,1.0,
1,HP:0032772,1.0,
1,HP:0032773,1.0,
1,HP:0032774,1.0,
1,HP:0032775,1.0,
1,HP:0032776,1.0,
1,HP:0032777,1.0,
1,HP:0032778,1.0,
1,HP:0032779,1.0,
1,HP:0032780,1.0,
1,HP:0032781,1.0,
1,HP:0032782,1.0,
1,HP:0032783,1.0,
1,HP:0032784,1.0,
1,HP:0032785,1.0,
1,HP:0032786,1.0,Migrating focal seizure
1,HP:0032787,1.0,
1,HP:0032788,1.0,
1,HP:0032789,1.0,
1,HP:0032790,1.0,
1,HP:0032791,1.0,
1,HP:0032792,0.013359698440718637,Tonic seizure
1,HP:0032793,1.0,
1,HP:0032794,0.8804293585328425,Myoclonic seizure
1,HP:0032795,1.0,
1,HP:0032796,1.0,
1,HP:0032797,1.0,
1,HP:0032798,1.0,
1,HP:0032799,1.0,
1,HP:0032800,1.0,
1,HP:0032801,1.0,
1,HP:0032802,1.0,
1,HP:0032803,1.0,
1,HP:0032804,1.0,
1,HP:0032805,1.0,
1,HP:0032806,1.0,
1,HP:0032807,1.0,
1,HP:0032808,1.0,
1,HP:0032809,1.0,
1,HP:0032810,1.0,
1,HP:0032811,1.0,
1,HP:0032812,1.0,
1,HP:0032813,1.0,
1,HP:0032814,1.0,
1,HP:0032815,1.0,
1,HP:0032816,1.0,
1,HP:0032817,1.0,
1,HP:0032818,1.0,
1,HP:0032819,1.0,
1,HP:0032820,1.0,
1,HP:0032821,1.0,
1,HP:0032822,1.0,
1,HP:0032823,1.0,
1,HP:0032824,1.0,
1,HP:0032825,1.0,
1,HP:0032826,1.0,
1,HP:0032827,1.0,
1,HP:0032828,1.0,
1,HP:0032829,1.0,
1,HP:0032830,1.0,
1,HP:0032831,1.0,
1,HP:0032832,1.0,
1,HP:0032833,1.0,
1,HP:0032834,1.0,
1,HP:0032835,1.0,
1,HP:0032836,1.0,
1,HP:0032837,1.0,
1,HP:0032838,1.0,
1,HP:0032839,1.0,
1,HP:0032840,1.0,
1,HP:0032841,1.0,
1,HP:0032842,1.0,
1,HP:0032843,1.0,
1,HP:0032844,1.0,
1,HP:0032845,1.0,
1,HP:0032846,1.0,
1,HP:0032847,1.0,
1,HP:0032848,1.0,
1,HP:0032849,1.0,
1,HP:0032850,1.0,
1,HP:0032851,1.0,
1,HP:0032852,1.0,
1,HP:0032853,1.0,
1,HP:0032854,1.0,
1,HP:0032855,1.0,
1,HP:0032856,1.0,
1,HP:0032857,1.0,
1,HP:0032858,1.0,
1,HP:0032859,1.0,
1,HP:0032860,0.12675196274323683,Generalized non-convulsive status epilepticus without coma
1,HP:0032861,1.0,
