HPO,p_val,module
HP:0000002,0.0239,1
HP:0000003,0.3582,1
HP:0000008,0.2156,1
HP:0000009,0.013,1
HP:0000010,0.4201,1
HP:0000011,0.1045,1
HP:0000012,0.0619,1
HP:0000013,0.1046,1
HP:0000014,0.0128,1
HP:0000015,0.4493,1
HP:0000016,0.0179,1
HP:0000017,0.0569,1
HP:0000019,0.6071,1
HP:0000020,0.0057,1
HP:0000021,0.012,1
HP:0000022,0.4518,1
HP:0000023,0.1729,1
HP:0000024,0.5171,1
HP:0000025,0.335,1
HP:0000026,0.1648,1
HP:0000027,0.3489,1
HP:0000028,0.0542,1
HP:0000029,0.108,1
HP:0000031,0.9115,1
HP:0000032,0.0883,1
HP:0000033,0.7358,1
HP:0000034,0.0463,1
HP:0000035,0.1212,1
HP:0000036,0.1883,1
HP:0000037,0.5072,1
HP:0000039,0.3729,1
HP:0000040,0.0182,1
HP:0000041,0.0636,1
HP:0000042,0.2947,1
HP:0000044,0.234,1
HP:0000045,0.3128,1
HP:0000046,0.3607,1
HP:0000047,0.2842,1
HP:0000048,0.1971,1
HP:0000049,0.4367,1
HP:0000050,0.1862,1
HP:0000051,0.291,1
HP:0000053,0.0221,1
HP:0000054,0.0943,1
HP:0000055,0.1709,1
HP:0000056,0.7543,1
HP:0000058,0.6399,1
HP:0000059,0.5228,1
HP:0000060,0.9482,1
HP:0000061,0.8189,1
HP:0000062,0.3305,1
HP:0000063,0.3732,1
HP:0000064,0.9364,1
HP:0000065,0.8843,1
HP:0000066,0.7224,1
HP:0000068,0.2413,1
HP:0000069,0.0448,1
HP:0000070,0.0,1
HP:0000071,0.0359,1
HP:0000072,0.1223,1
HP:0000073,0.4808,1
HP:0000074,0.0241,1
HP:0000075,0.5513,1
HP:0000076,0.2962,1
HP:0000077,0.0811,1
HP:0000078,0.1058,1
HP:0000079,0.0496,1
HP:0000080,0.113,1
HP:0000081,0.6986,1
HP:0000083,0.2911,1
HP:0000085,0.4145,1
HP:0000086,0.5525,1
HP:0000089,0.3705,1
HP:0000090,0.7904,1
HP:0000091,0.28,1
HP:0000092,0.408,1
HP:0000093,0.2147,1
HP:0000095,0.2154,1
HP:0000096,0.2268,1
HP:0000097,0.1969,1
HP:0000098,0.04,1
HP:0000099,0.1766,1
HP:0000100,0.4401,1
HP:0000103,0.0059,1
HP:0000104,0.2617,1
HP:0000105,0.0264,1
HP:0000107,0.2308,1
HP:0000108,0.5147,1
HP:0000110,0.008,1
HP:0000111,0.0026,1
HP:0000112,0.0351,1
HP:0000113,0.3763,1
HP:0000114,0.097,1
HP:0000117,0.0397,1
HP:0000118,0.0,1
HP:0000119,0.0679,1
HP:0000121,0.0859,1
HP:0000122,0.0726,1
HP:0000123,0.2401,1
HP:0000124,0.0657,1
HP:0000125,0.476,1
HP:0000126,0.1181,1
HP:0000127,0.0089,1
HP:0000128,0.0036,1
HP:0000130,0.139,1
HP:0000131,0.8576,1
HP:0000132,0.3236,1
HP:0000133,0.0227,1
HP:0000134,0.3864,1
HP:0000135,0.3054,1
HP:0000136,0.1601,1
HP:0000137,0.0197,1
HP:0000138,0.0121,1
HP:0000139,0.0065,1
HP:0000140,0.0846,1
HP:0000141,0.0627,1
HP:0000142,0.4,1
HP:0000143,0.4663,1
HP:0000144,0.0684,1
HP:0000145,0.9258,1
HP:0000147,0.0113,1
HP:0000148,0.0674,1
HP:0000149,0.6377,1
HP:0000150,0.0493,1
HP:0000151,0.6079,1
HP:0000152,0.0064,1
HP:0000153,0.0196,1
HP:0000154,0.0497,1
HP:0000155,0.2213,1
HP:0000157,0.0842,1
HP:0000158,0.0882,1
HP:0000159,0.0237,1
HP:0000160,0.1609,1
HP:0000161,0.2787,1
HP:0000162,0.1093,1
HP:0000163,0.0277,1
HP:0000164,0.0283,1
HP:0000166,0.5349,1
HP:0000168,0.1438,1
HP:0000169,0.0447,1
HP:0000171,0.3635,1
HP:0000172,0.2418,1
HP:0000174,0.0372,1
HP:0000175,0.0854,1
HP:0000176,0.1238,1
HP:0000177,0.036,1
HP:0000178,0.0563,1
HP:0000179,0.0402,1
HP:0000180,0.695,1
HP:0000182,0.0137,1
HP:0000183,0.0111,1
HP:0000185,0.0602,1
HP:0000187,0.1412,1
HP:0000188,0.0423,1
HP:0000189,0.0492,1
HP:0000190,0.4731,1
HP:0000191,0.7987,1
HP:0000193,0.1616,1
HP:0000194,0.0488,1
HP:0000196,0.1955,1
HP:0000197,0.0974,1
HP:0000198,0.0749,1
HP:0000199,0.7088,1
HP:0000200,0.464,1
HP:0000201,0.4143,1
HP:0000202,0.0986,1
HP:0000204,0.4303,1
HP:0000205,0.018,1
HP:0000206,0.1222,1
HP:0000207,0.8813,1
HP:0000211,0.0339,1
HP:0000212,0.0398,1
HP:0000214,0.4675,1
HP:0000215,0.3133,1
HP:0000216,0.2346,1
HP:0000217,0.0789,1
HP:0000218,0.0157,1
HP:0000219,0.0839,1
HP:0000220,0.1804,1
HP:0000221,0.0323,1
HP:0000222,0.4969,1
HP:0000223,0.0119,1
HP:0000224,0.0119,1
HP:0000225,0.4135,1
HP:0000227,0.5523,1
HP:0000228,0.4675,1
HP:0000230,0.536,1
HP:0000232,0.078,1
HP:0000233,0.1928,1
HP:0000234,0.0067,1
HP:0000235,0.0502,1
HP:0000236,0.0941,1
HP:0000237,0.9994,1
HP:0000238,0.154,1
HP:0000239,0.0353,1
HP:0000240,0.0023,1
HP:0000242,0.0512,1
HP:0000243,0.1212,1
HP:0000244,0.1136,1
HP:0000245,0.3182,1
HP:0000246,0.5697,1
HP:0000248,0.1552,1
HP:0000250,0.4467,1
HP:0000252,0.0019,1
HP:0000253,0.0206,1
HP:0000256,0.0367,1
HP:0000260,0.0935,1
HP:0000262,0.1328,1
HP:0000263,0.1117,1
HP:0000264,0.8946,1
HP:0000265,0.8791,1
HP:0000267,0.0254,1
HP:0000268,0.084,1
HP:0000269,0.1716,1
HP:0000270,0.0361,1
HP:0000271,0.0229,1
HP:0000272,0.0537,1
HP:0000273,0.7034,1
HP:0000274,0.4065,1
HP:0000275,0.3955,1
HP:0000276,0.0478,1
HP:0000277,0.0849,1
HP:0000278,0.0894,1
HP:0000280,0.0486,1
HP:0000282,0.055,1
HP:0000283,0.2151,1
HP:0000286,0.0288,1
HP:0000287,0.077,1
HP:0000288,0.0416,1
HP:0000289,0.0337,1
HP:0000290,0.0119,1
HP:0000291,0.0238,1
HP:0000292,0.0245,1
HP:0000293,0.0338,1
HP:0000294,0.2778,1
HP:0000295,0.1003,1
HP:0000297,0.0326,1
HP:0000298,0.0376,1
HP:0000300,0.404,1
HP:0000301,0.0152,1
HP:0000303,0.0663,1
HP:0000306,0.0608,1
HP:0000307,0.0426,1
HP:0000308,0.0938,1
HP:0000309,0.0328,1
HP:0000311,0.0759,1
HP:0000315,0.0112,1
HP:0000316,0.0243,1
HP:0000317,0.007,1
HP:0000319,0.1197,1
HP:0000320,0.5985,1
HP:0000321,0.0482,1
HP:0000322,0.1528,1
HP:0000324,0.0361,1
HP:0000325,0.0347,1
HP:0000326,0.0599,1
HP:0000327,0.0577,1
HP:0000329,0.1013,1
HP:0000331,0.0391,1
HP:0000336,0.0202,1
HP:0000337,0.1017,1
HP:0000338,0.0395,1
HP:0000339,0.7597,1
HP:0000340,0.0828,1
HP:0000341,0.0735,1
HP:0000343,0.033,1
HP:0000346,0.0117,1
HP:0000347,0.1076,1
HP:0000348,0.0127,1
HP:0000349,0.0903,1
HP:0000350,0.8387,1
HP:0000356,0.0251,1
HP:0000357,0.0322,1
HP:0000358,0.0619,1
HP:0000359,0.0044,1
HP:0000360,0.0083,1
HP:0000362,0.3779,1
HP:0000363,0.0828,1
HP:0000364,0.0088,1
HP:0000365,0.0091,1
HP:0000366,0.0767,1
HP:0000368,0.0588,1
HP:0000369,0.0345,1
HP:0000370,0.405,1
HP:0000372,0.3075,1
HP:0000375,0.0167,1
HP:0000376,0.0295,1
HP:0000377,0.0237,1
HP:0000378,0.0686,1
HP:0000381,0.0429,1
HP:0000383,0.0462,1
HP:0000384,0.1799,1
HP:0000385,0.1045,1
HP:0000387,0.9268,1
HP:0000388,0.4229,1
HP:0000389,0.2645,1
HP:0000391,0.0086,1
HP:0000394,0.0201,1
HP:0000395,0.1647,1
HP:0000396,0.0393,1
HP:0000399,0.0129,1
HP:0000400,0.0488,1
HP:0000402,0.1279,1
HP:0000403,0.3224,1
HP:0000405,0.3206,1
HP:0000407,0.0083,1
HP:0000408,0.0879,1
HP:0000410,0.0513,1
HP:0000411,0.091,1
HP:0000413,0.3961,1
HP:0000414,0.0184,1
HP:0000415,0.2444,1
HP:0000417,0.7026,1
HP:0000418,0.0148,1
HP:0000419,0.03,1
HP:0000420,0.874,1
HP:0000421,0.2632,1
HP:0000422,0.0571,1
HP:0000426,0.2665,1
HP:0000429,0.0529,1
HP:0000430,0.0383,1
HP:0000431,0.2764,1
HP:0000433,0.1979,1
HP:0000434,0.5523,1
HP:0000436,0.0438,1
HP:0000437,0.0961,1
HP:0000444,0.2817,1
HP:0000445,0.0169,1
HP:0000446,0.0934,1
HP:0000447,0.4203,1
HP:0000448,0.3486,1
HP:0000451,0.1091,1
HP:0000452,0.0518,1
HP:0000453,0.2855,1
HP:0000454,0.204,1
HP:0000455,0.1406,1
HP:0000456,0.0715,1
HP:0000457,0.2227,1
HP:0000458,0.0467,1
HP:0000460,0.1155,1
HP:0000463,0.0637,1
HP:0000464,0.0228,1
HP:0000465,0.0125,1
HP:0000466,0.3064,1
HP:0000467,0.0422,1
HP:0000468,0.0687,1
HP:0000470,0.0548,1
HP:0000471,0.244,1
HP:0000472,0.0471,1
HP:0000473,0.0088,1
HP:0000474,0.015,1
HP:0000475,0.0643,1
HP:0000476,0.0164,1
HP:0000478,0.0004,1
HP:0000479,0.061,1
HP:0000480,0.0923,1
HP:0000481,0.2052,1
HP:0000482,0.2321,1
HP:0000483,0.3033,1
HP:0000484,0.7737,1
HP:0000485,0.1879,1
HP:0000486,0.0112,1
HP:0000488,0.112,1
HP:0000490,0.0143,1
HP:0000491,0.2572,1
HP:0000492,0.0094,1
HP:0000493,0.0664,1
HP:0000494,0.006,1
HP:0000495,0.0419,1
HP:0000496,0.0007,1
HP:0000498,0.3763,1
HP:0000499,0.0649,1
HP:0000501,0.4077,1
HP:0000502,0.1693,1
HP:0000503,0.2663,1
HP:0000504,0.0001,1
HP:0000505,0.0046,1
HP:0000506,0.0695,1
HP:0000508,0.0029,1
HP:0000509,0.3416,1
HP:0000510,0.488,1
HP:0000511,0.02,1
HP:0000512,0.3356,1
HP:0000514,0.1661,1
HP:0000517,0.2776,1
HP:0000518,0.268,1
HP:0000519,0.1438,1
HP:0000520,0.0459,1
HP:0000522,0.1164,1
HP:0000523,0.4829,1
HP:0000524,0.5088,1
HP:0000525,0.1726,1
HP:0000526,0.1193,1
HP:0000527,0.0563,1
HP:0000528,0.1457,1
HP:0000529,0.2372,1
HP:0000531,0.0606,1
HP:0000532,0.3018,1
HP:0000533,0.6415,1
HP:0000534,0.056,1
HP:0000535,0.0691,1
HP:0000537,0.3589,1
HP:0000538,0.5142,1
HP:0000539,0.1349,1
HP:0000540,0.3448,1
HP:0000541,0.289,1
HP:0000542,0.1776,1
HP:0000543,0.1311,1
HP:0000544,0.0907,1
HP:0000545,0.1183,1
HP:0000546,0.0003,1
HP:0000548,0.0433,1
HP:0000549,0.0108,1
HP:0000550,0.02,1
HP:0000551,0.0528,1
HP:0000552,0.7672,1
HP:0000553,0.1836,1
HP:0000554,0.2585,1
HP:0000555,0.9521,1
HP:0000556,0.483,1
HP:0000557,0.0363,1
HP:0000558,0.0638,1
HP:0000559,0.6056,1
HP:0000561,0.0306,1
HP:0000563,0.5528,1
HP:0000564,0.8877,1
HP:0000565,0.0111,1
HP:0000567,0.2858,1
HP:0000568,0.3405,1
HP:0000570,0.1138,1
HP:0000571,0.0193,1
HP:0000572,0.0901,1
HP:0000573,0.1036,1
HP:0000574,0.0705,1
HP:0000575,0.0853,1
HP:0000576,0.2432,1
HP:0000577,0.145,1
HP:0000579,0.6295,1
HP:0000580,0.1288,1
HP:0000581,0.1329,1
HP:0000582,0.0982,1
HP:0000585,0.1565,1
HP:0000586,0.064,1
HP:0000587,0.0556,1
HP:0000588,0.4017,1
HP:0000589,0.1658,1
HP:0000590,0.5281,1
HP:0000591,0.203,1
HP:0000592,0.3801,1
HP:0000593,0.3351,1
HP:0000594,0.6468,1
HP:0000597,0.1451,1
HP:0000598,0.0046,1
HP:0000599,0.1709,1
HP:0000600,0.4049,1
HP:0000601,0.3823,1
HP:0000602,0.0974,1
HP:0000603,0.0848,1
HP:0000605,0.0429,1
HP:0000606,0.0301,1
HP:0000607,0.2703,1
HP:0000608,0.2451,1
HP:0000609,0.0264,1
HP:0000610,0.2516,1
HP:0000612,0.1385,1
HP:0000613,0.1031,1
HP:0000614,0.1744,1
HP:0000615,0.1286,1
HP:0000616,0.0516,1
HP:0000617,0.0264,1
HP:0000618,0.0225,1
HP:0000619,0.2209,1
HP:0000620,0.135,1
HP:0000621,0.7747,1
HP:0000622,0.0023,1
HP:0000623,0.466,1
HP:0000625,0.2075,1
HP:0000627,0.1067,1
HP:0000629,0.1194,1
HP:0000630,0.394,1
HP:0000631,0.1093,1
HP:0000632,0.0536,1
HP:0000633,0.2279,1
HP:0000634,0.1789,1
HP:0000635,0.1789,1
HP:0000636,0.0112,1
HP:0000637,0.014,1
HP:0000639,0.0007,1
HP:0000640,0.008,1
HP:0000641,0.0317,1
HP:0000642,0.2356,1
HP:0000643,0.0022,1
HP:0000646,0.0248,1
HP:0000647,0.6065,1
HP:0000648,0.0502,1
HP:0000649,0.1798,1
HP:0000650,0.1929,1
HP:0000651,0.0058,1
HP:0000652,0.6921,1
HP:0000653,0.3714,1
HP:0000654,0.1963,1
HP:0000656,0.1453,1
HP:0000657,0.2879,1
HP:0000658,0.0095,1
HP:0000659,0.3691,1
HP:0000660,0.0446,1
HP:0000661,0.1776,1
HP:0000662,0.1586,1
HP:0000664,0.1724,1
HP:0000666,0.0117,1
HP:0000667,0.4599,1
HP:0000668,0.0054,1
HP:0000670,0.2044,1
HP:0000674,0.3504,1
HP:0000675,0.033,1
HP:0000676,0.1097,1
HP:0000677,0.0201,1
HP:0000678,0.1004,1
HP:0000679,0.5182,1
HP:0000680,0.5421,1
HP:0000682,0.0808,1
HP:0000683,0.4826,1
HP:0000684,0.0744,1
HP:0000685,0.0751,1
HP:0000687,0.1511,1
HP:0000689,0.0563,1
HP:0000690,0.623,1
HP:0000691,0.3299,1
HP:0000692,0.1045,1
HP:0000694,0.3067,1
HP:0000695,0.289,1
HP:0000696,0.017,1
HP:0000698,0.1976,1
HP:0000699,0.3402,1
HP:0000700,0.4512,1
HP:0000703,0.7883,1
HP:0000704,0.3347,1
HP:0000705,0.1365,1
HP:0000706,0.0728,1
HP:0000707,0.0,1
HP:0000708,0.0003,1
HP:0000709,0.026,1
HP:0000710,0.0133,1
HP:0000711,0.0072,1
HP:0000712,0.0512,1
HP:0000713,0.0033,1
HP:0000716,0.0023,1
HP:0000717,0.0009,1
HP:0000718,0.0024,1
HP:0000719,0.1355,1
HP:0000720,0.4921,1
HP:0000721,0.0096,1
HP:0000722,0.0107,1
HP:0000723,0.0109,1
HP:0000725,0.1252,1
HP:0000726,0.1851,1
HP:0000727,0.287,1
HP:0000728,0.0082,1
HP:0000729,0.0,1
HP:0000732,0.0096,1
HP:0000733,0.0075,1
HP:0000734,0.0,1
HP:0000735,0.0164,1
HP:0000736,0.0063,1
HP:0000737,0.1125,1
HP:0000738,0.0088,1
HP:0000739,0.0024,1
HP:0000740,0.0719,1
HP:0000741,0.131,1
HP:0000742,0.3423,1
HP:0000743,0.3854,1
HP:0000744,0.0367,1
HP:0000745,0.1361,1
HP:0000746,0.0847,1
HP:0000748,0.3346,1
HP:0000749,0.3834,1
HP:0000750,0.0004,1
HP:0000751,0.1685,1
HP:0000752,0.0032,1
HP:0000753,0.0082,1
HP:0000756,0.1559,1
HP:0000757,0.169,1
HP:0000758,0.0096,1
HP:0000759,0.0001,1
HP:0000762,0.0503,1
HP:0000763,0.0003,1
HP:0000764,0.0308,1
HP:0000765,0.0476,1
HP:0000766,0.0266,1
HP:0000767,0.0151,1
HP:0000768,0.0205,1
HP:0000769,0.0902,1
HP:0000771,0.1705,1
HP:0000772,0.229,1
HP:0000773,0.276,1
HP:0000774,0.1948,1
HP:0000775,0.1083,1
HP:0000776,0.1059,1
HP:0000777,0.313,1
HP:0000778,0.6504,1
HP:0000782,0.0448,1
HP:0000786,0.0054,1
HP:0000787,0.0332,1
HP:0000789,0.0667,1
HP:0000790,0.3473,1
HP:0000791,0.2711,1
HP:0000793,0.4426,1
HP:0000794,0.2916,1
HP:0000795,0.3459,1
HP:0000796,0.6535,1
HP:0000798,0.2147,1
HP:0000799,0.1012,1
HP:0000800,0.4517,1
HP:0000802,0.0807,1
HP:0000803,0.0504,1
HP:0000804,0.3406,1
HP:0000805,0.0258,1
HP:0000807,0.7433,1
HP:0000808,0.2636,1
HP:0000811,0.094,1
HP:0000812,0.19,1
HP:0000813,0.0884,1
HP:0000815,0.415,1
HP:0000816,0.3036,1
HP:0000817,0.0188,1
HP:0000818,0.0158,1
HP:0000819,0.0632,1
HP:0000820,0.0463,1
HP:0000821,0.0496,1
HP:0000822,0.1664,1
HP:0000823,0.3352,1
HP:0000824,0.3626,1
HP:0000825,0.0097,1
HP:0000826,0.0177,1
HP:0000828,0.044,1
HP:0000829,0.0719,1
HP:0000830,0.1032,1
HP:0000831,0.0697,1
HP:0000832,0.6229,1
HP:0000834,0.0294,1
HP:0000835,0.6308,1
HP:0000836,0.0046,1
HP:0000837,0.0076,1
HP:0000839,0.2958,1
HP:0000840,0.4426,1
HP:0000841,0.0101,1
HP:0000842,0.1778,1
HP:0000843,0.0244,1
HP:0000845,0.0288,1
HP:0000846,0.0461,1
HP:0000847,0.0088,1
HP:0000848,0.0039,1
HP:0000849,0.0064,1
HP:0000851,0.0426,1
HP:0000852,0.019,1
HP:0000853,0.0157,1
HP:0000854,0.1492,1
HP:0000855,0.0308,1
HP:0000857,0.1571,1
HP:0000858,0.0902,1
HP:0000859,0.0034,1
HP:0000860,0.0178,1
HP:0000863,0.0181,1
HP:0000864,0.087,1
HP:0000866,0.787,1
HP:0000867,0.8682,1
HP:0000868,0.5703,1
HP:0000869,0.0499,1
HP:0000870,0.0176,1
HP:0000871,0.4544,1
HP:0000872,0.4211,1
HP:0000873,0.2695,1
HP:0000875,0.0493,1
HP:0000876,0.3722,1
HP:0000877,0.224,1
HP:0000878,0.0321,1
HP:0000879,0.798,1
HP:0000882,0.1194,1
HP:0000883,0.0926,1
HP:0000884,0.5597,1
HP:0000885,0.0659,1
HP:0000886,0.6639,1
HP:0000887,0.2436,1
HP:0000888,0.8159,1
HP:0000889,0.2802,1
HP:0000890,0.0647,1
HP:0000891,0.3718,1
HP:0000892,0.0137,1
HP:0000893,0.6639,1
HP:0000894,0.2895,1
HP:0000895,0.4627,1
HP:0000896,0.4563,1
HP:0000897,0.2896,1
HP:0000900,0.3729,1
HP:0000902,0.1228,1
HP:0000904,0.521,1
HP:0000905,0.4163,1
HP:0000907,0.2048,1
HP:0000910,0.1144,1
HP:0000911,0.5905,1
HP:0000912,0.0381,1
HP:0000913,0.2881,1
HP:0000914,0.014,1
HP:0000915,0.013,1
HP:0000916,0.0758,1
HP:0000917,0.013,1
HP:0000918,0.4563,1
HP:0000919,0.2372,1
HP:0000920,0.4303,1
HP:0000921,0.0689,1
HP:0000922,0.2724,1
HP:0000923,0.0656,1
HP:0000924,0.0096,1
HP:0000925,0.0277,1
HP:0000926,0.1483,1
HP:0000927,0.0366,1
HP:0000929,0.0064,1
HP:0000932,0.3546,1
HP:0000934,0.0541,1
HP:0000935,0.1817,1
HP:0000938,0.0677,1
HP:0000939,0.1328,1
HP:0000940,0.1139,1
HP:0000941,0.1895,1
HP:0000943,0.289,1
HP:0000944,0.1563,1
HP:0000946,0.2,1
HP:0000947,0.184,1
HP:0000951,0.0456,1
HP:0000952,0.082,1
HP:0000953,0.0788,1
HP:0000954,0.1021,1
HP:0000956,0.0202,1
HP:0000957,0.0613,1
HP:0000958,0.0735,1
HP:0000960,0.1146,1
HP:0000961,0.0395,1
HP:0000962,0.0286,1
HP:0000963,0.2157,1
HP:0000964,0.3162,1
HP:0000965,0.1053,1
HP:0000966,0.0545,1
HP:0000967,0.4774,1
