HPO,p_val,module
HP:0000002,0.6089,1
HP:0000003,0.8433,1
HP:0000008,0.8423,1
HP:0000009,0.2455,1
HP:0000010,0.9518,1
HP:0000011,0.4806,1
HP:0000012,0.3867,1
HP:0000013,0.3173,1
HP:0000014,0.259,1
HP:0000015,0.93,1
HP:0000016,0.0002,1
HP:0000017,0.2698,1
HP:0000019,0.855,1
HP:0000020,0.0913,1
HP:0000021,0.0056,1
HP:0000022,0.9405,1
HP:0000023,0.8275,1
HP:0000024,0.8331,1
HP:0000025,0.862,1
HP:0000026,0.405,1
HP:0000027,0.8591,1
HP:0000028,0.6829,1
HP:0000029,0.4389,1
HP:0000031,0.9709,1
HP:0000032,0.721,1
HP:0000033,0.936,1
HP:0000034,0.5936,1
HP:0000035,0.7868,1
HP:0000036,0.802,1
HP:0000037,0.9025,1
HP:0000039,0.802,1
HP:0000040,0.2106,1
HP:0000041,0.3322,1
HP:0000042,0.7037,1
HP:0000044,0.4874,1
HP:0000045,0.8259,1
HP:0000046,0.7156,1
HP:0000047,0.9194,1
HP:0000048,0.6243,1
HP:0000049,0.9081,1
HP:0000050,0.7035,1
HP:0000051,0.8283,1
HP:0000053,0.3172,1
HP:0000054,0.5994,1
HP:0000055,0.7192,1
HP:0000056,0.9178,1
HP:0000058,0.8873,1
HP:0000059,0.9222,1
HP:0000060,0.9272,1
HP:0000061,0.9632,1
HP:0000062,0.8196,1
HP:0000063,0.7632,1
HP:0000064,0.9064,1
HP:0000065,0.9673,1
HP:0000066,0.8588,1
HP:0000068,0.7208,1
HP:0000069,0.5366,1
HP:0000070,0.0015,1
HP:0000071,0.379,1
HP:0000072,0.5941,1
HP:0000073,0.825,1
HP:0000074,0.3227,1
HP:0000075,0.9435,1
HP:0000076,0.912,1
HP:0000077,0.73,1
HP:0000078,0.7605,1
HP:0000079,0.7043,1
HP:0000080,0.6167,1
HP:0000081,0.9877,1
HP:0000083,0.8894,1
HP:0000085,0.9098,1
HP:0000086,0.9828,1
HP:0000089,0.9321,1
HP:0000090,0.9499,1
HP:0000091,0.7173,1
HP:0000092,0.6931,1
HP:0000093,0.6944,1
HP:0000095,0.5933,1
HP:0000096,0.6714,1
HP:0000097,0.6251,1
HP:0000098,0.5206,1
HP:0000099,0.5382,1
HP:0000100,0.8733,1
HP:0000103,0.0,1
HP:0000104,0.8561,1
HP:0000105,0.0011,1
HP:0000107,0.8216,1
HP:0000108,0.7074,1
HP:0000110,0.1133,1
HP:0000111,0.0,1
HP:0000112,0.1409,1
HP:0000113,0.8982,1
HP:0000114,0.3003,1
HP:0000117,0.3427,1
HP:0000118,0.0946,1
HP:0000119,0.7324,1
HP:0000121,0.2373,1
