module,gene
1,IQGAP2
1,MYH3
1,MED13L
1,ARID1B
1,MAP3K1
1,SMARCC2
1,TCF4
1,MED12
1,TBL1XR1
1,RORB
1,NCOA1
1,PPARG
1,LDB1
1,DNMT3A
1,HSD17B4
1,CTNNB1
1,TCF7L2
1,JUN
1,ATN1
1,CREBBP
2,SHANK2
2,GRIA2
2,LGI1
2,CACNA1G
2,CACNA1E
2,CACNG2
2,ATP6V1C2
2,NRXN1
2,TBR1
2,MAP1A
2,FOXP2
2,DLG4
2,CACNA2D3
2,GFAP
2,GRIN2B
2,ELAVL3
2,SYNGAP1
3,SKI
3,KDM5B
3,STK39
3,AGO1
3,TOM1L2
3,KMT2C
3,ASH1L
3,SETD5
3,SPEN
3,KDM6B
3,SIN3A
3,KMT5B
3,KMT2E
3,PHF12
3,SETD2
3,PASK
4,RAD51C
4,TSC1
4,INPPL1
4,PTEN
4,MSH3
4,PI4K2A
4,KAT5
4,EYA4
4,CSNK2B
4,PHF21A
4,RNF168
4,ATR
4,PPP5C
4,ATM
5,PPP2R5D
5,TAOK1
5,EIF3G
5,EIF4G1
5,MARK3
5,FXR1
5,SRRM2
5,SH2D3C
5,NUP155
5,TFIP11
5,EIF4A3
5,EIF3A
6,GABRB2
6,ANK2
6,KCNJ14
6,KCNQ3
6,GABRG2
6,SCN2A
6,GABRA1
6,STXBP1
6,GABRB3
6,SCN1A
6,SCN8A
6,KCNQ4
7,GBF1
7,NR3C2
7,STIL
7,CDK5RAP2
7,DNAH17
7,DNAH8
7,DNAH3
7,CTSA
7,UNC13D
7,ARFGEF1
7,DYNC1H1
8,ITGB6
8,NRG3
8,EGFR
8,PTPRG
8,SLC9A1
8,AP2S1
8,HGS
8,ITGA6
8,LDLR
8,LRIG2
9,DYRK1A
9,ADCY9
9,GNAI1
9,POGZ
9,HTR5A
9,ADCY10
9,GLI1
9,ADNP
9,CHD8
10,HECW2
10,UBR1
10,CUL7
10,RC3H2
10,TRAF7
10,TRIP12
11,GLDC
11,AGXT2
11,ALDH7A1
11,PCCB
12,MBOAT2
12,CEPT1
13,SRPR
13,SEC61A2
14,POLR3C
14,GTF3C4
15,ARL8A
15,DNAJC13
16,WDR59
16,DEPDC5
17,CDAN1
18,CELF4
19,PLEKHG5
20,GSTA1
21,ARID3C
22,HPS3
23,QSOX2
24,RFX3
25,BBS1
26,ATAD3B
27,CORO1A
28,CNN3
29,AMBRA1
30,CLK1
31,MST1
32,ZMYND8
33,KCNB1
34,TRPM6
35,GIGYF1
36,NPC1L1
37,TLK2
38,ELTD1
39,F13B
40,WAC
41,KCNMA1
42,RECQL5
43,DEAF1
44,MEI1
45,STOX1
46,RAB40C
47,LETM2
48,NEBL
49,VEZF1
50,ACAT1
51,FOXP1
52,FBXL6
53,TECR
54,PPFIBP2
55,MBD5
56,PHF2
57,ZNF587
58,EEF1A2
59,ASXL3
60,DIP2A
61,HECTD4
62,SLC22A2
63,SLC6A1
64,SLC6A7
65,POM121L12
66,CYP4F11
67,CHD2
68,NEXMIF
69,SEPN1
70,PTK7
71,GTPBP6
72,CMTR2
73,THSD7A
74,TEK
75,TRMT61B
76,LASP1
77,TSPAN11
78,MCF2L2
79,MYO10
80,PPP1R9B
81,SATB1
82,PPFIA3
83,MYT1L
84,ATP9B
85,SCUBE3
86,CRIPAK
87,KIAA0232
88,DSCAM
89,HSF4
90,MAP3K4
91,TM9SF4
92,NACC1
93,CDC20B
94,DDIAS
95,DGKD
96,CD101
97,TRIM23
98,CADM4
99,GPRC5C
100,SPAST
101,SLC6A2
102,COBLL1
103,RINL
104,INSC
105,POC1A
106,DPYSL2
107,LMF2
108,TFB2M
109,ZNF226
110,HK3
111,TRIM3
112,LYZL2
113,CMTM1
114,WDR35
115,KCNT2
116,TYR
117,TCTE1
118,ASGR2
119,MBNL2
120,PSG4
121,NSD1
122,SYNE2
123,PRR12
124,LRRC4C
125,AAGAB
126,DHTKD1
127,UNC79
128,GTPBP2
129,HDLBP
130,SLC7A9
131,RBM4
132,CCDC66
133,IRF2BPL
134,TOR1A
135,GGA2
136,METTL20
137,MKX
138,FDXR
139,TRIOBP
140,BCL11A
141,MYO5C
142,ANKRD11
143,MTMR11
144,C1orf177
145,LY75-CD302
146,RAI1
147,ANKRD13B
148,MEFV
149,GAL3ST3
150,TNPO1
151,SLC5A8
152,LRRFIP2
153,ZNF668
154,RECK
155,ZNF282
156,COLQ
157,SHANK3
158,PAX5
159,COL6A2
160,BAIAP3
161,ZNF30
162,M1AP
163,TCF20
164,ZNF416
165,KIAA1919
166,ATXN7
167,MTRF1
168,L3MBTL4
169,CC2D1A
