HPO,p_val,module
HP:0000002,0.0,1
HP:0000003,0.0234,1
HP:0000008,0.0,1
HP:0000009,0.0579,1
HP:0000010,0.179,1
HP:0000011,0.0001,1
HP:0000012,0.184,1
HP:0000013,0.0,1
HP:0000014,0.0434,1
HP:0000015,0.0106,1
HP:0000016,0.0038,1
HP:0000017,0.038,1
HP:0000019,0.1856,1
HP:0000020,0.0789,1
HP:0000021,0.0002,1
HP:0000022,0.005,1
HP:0000023,0.0,1
HP:0000024,0.0123,1
HP:0000025,0.0728,1
HP:0000026,0.0,1
HP:0000027,0.0032,1
HP:0000028,0.0,1
HP:0000029,0.0,1
HP:0000031,0.1423,1
HP:0000032,0.0,1
HP:0000033,0.0063,1
HP:0000034,0.1359,1
HP:0000035,0.0,1
HP:0000036,0.0,1
HP:0000037,0.0001,1
HP:0000039,0.0705,1
HP:0000040,0.0743,1
HP:0000041,0.0015,1
HP:0000042,0.0004,1
HP:0000044,0.0,1
HP:0000045,0.0,1
HP:0000046,0.0,1
HP:0000047,0.0001,1
HP:0000048,0.0,1
HP:0000049,0.0103,1
HP:0000050,0.0,1
HP:0000051,0.0,1
HP:0000053,0.0737,1
HP:0000054,0.0024,1
HP:0000055,0.0,1
HP:0000056,0.0025,1
HP:0000058,0.0,1
HP:0000059,0.0818,1
HP:0000060,0.0711,1
HP:0000061,0.0079,1
HP:0000062,0.0022,1
HP:0000063,0.0128,1
HP:0000064,0.0207,1
HP:0000065,0.0,1
HP:0000066,0.0323,1
HP:0000068,0.0008,1
HP:0000069,0.0694,1
HP:0000070,0.1845,1
HP:0000071,0.0001,1
HP:0000072,0.1249,1
HP:0000073,0.0,1
HP:0000074,0.0004,1
HP:0000075,0.1689,1
HP:0000076,0.0843,1
HP:0000077,0.0,1
HP:0000078,0.0,1
HP:0000079,0.0,1
HP:0000080,0.0014,1
HP:0000081,0.1527,1
HP:0000083,0.0144,1
HP:0000085,0.0638,1
HP:0000086,0.0007,1
HP:0000089,0.0,1
HP:0000090,0.0814,1
HP:0000091,0.0701,1
HP:0000092,0.1016,1
HP:0000093,0.0484,1
HP:0000095,0.0001,1
HP:0000096,0.001,1
HP:0000097,0.0072,1
HP:0000098,0.1598,1
HP:0000099,0.0004,1
HP:0000100,0.003,1
HP:0000103,0.3451,1
HP:0000104,0.0635,1
HP:0000105,0.0105,1
HP:0000107,0.0179,1
HP:0000108,0.104,1
HP:0000110,0.0131,1
HP:0000111,0.9508,1
HP:0000112,0.0028,1
HP:0000113,0.0522,1
HP:0000114,0.0106,1
HP:0000117,0.2035,1
HP:0000118,0.0,1
HP:0000119,0.0,1
HP:0000121,0.069,1
HP:0000122,0.1255,1
HP:0000123,0.0238,1
HP:0000124,0.0019,1
HP:0000125,0.0003,1
HP:0000126,0.0002,1
HP:0000127,0.0103,1
HP:0000128,0.8732,1
HP:0000130,0.0001,1
HP:0000131,0.0723,1
HP:0000132,0.0973,1
HP:0000133,0.0,1
HP:0000134,0.0669,1
HP:0000135,0.017,1
HP:0000136,0.0087,1
HP:0000137,0.0011,1
HP:0000138,0.0046,1
HP:0000139,0.0019,1
HP:0000140,0.0,1
HP:0000141,0.0,1
HP:0000142,0.0389,1
HP:0000143,0.0932,1
HP:0000144,0.0,1
HP:0000145,0.0058,1
HP:0000147,0.0052,1
HP:0000148,0.0722,1
HP:0000149,0.0033,1
HP:0000150,0.0013,1
HP:0000151,0.0066,1
HP:0000152,0.0,1
HP:0000153,0.0,1
HP:0000154,0.0,1
HP:0000155,0.0854,1
HP:0000157,0.0055,1
HP:0000158,0.0,1
HP:0000159,0.0,1
HP:0000160,0.0055,1
HP:0000161,0.07,1
HP:0000162,0.0678,1
HP:0000163,0.0,1
HP:0000164,0.0,1
HP:0000166,0.11,1
HP:0000168,0.0187,1
HP:0000169,0.0716,1
HP:0000171,0.0011,1
HP:0000172,0.1214,1
HP:0000174,0.0,1
HP:0000175,0.0,1
HP:0000176,0.0632,1
HP:0000177,0.0001,1
HP:0000178,0.0,1
HP:0000179,0.0,1
HP:0000180,0.0346,1
HP:0000182,0.0273,1
HP:0000183,0.0285,1
HP:0000185,0.011,1
HP:0000187,0.0,1
HP:0000188,0.0036,1
HP:0000189,0.0076,1
HP:0000190,0.2504,1
HP:0000191,0.0316,1
HP:0000193,0.0726,1
HP:0000194,0.0049,1
HP:0000196,0.001,1
HP:0000197,0.0009,1
HP:0000198,0.0032,1
HP:0000199,0.0355,1
HP:0000200,0.1235,1
HP:0000201,0.0724,1
HP:0000202,0.0,1
HP:0000204,0.0005,1
HP:0000205,0.0476,1
HP:0000206,0.4103,1
HP:0000207,0.0381,1
HP:0000211,0.0382,1
HP:0000212,0.0,1
HP:0000214,0.001,1
HP:0000215,0.0006,1
HP:0000216,0.0004,1
HP:0000217,0.0035,1
HP:0000218,0.0,1
HP:0000219,0.0,1
HP:0000220,0.0704,1
HP:0000221,0.0723,1
HP:0000222,0.192,1
HP:0000223,0.5159,1
HP:0000224,0.5159,1
HP:0000225,0.003,1
HP:0000227,0.0058,1
HP:0000228,0.001,1
