node	module	type
PCLO	6	e
TBCK	281	c
CD99L2	60	a
MFSD2A	150	e
PIGN	10	e
PPT1	15	e
TET2	1	a
C10orf2	9	e
GPR98	3	e
ROGDI	231	e
SLC46A1	4	e
VIL1	300	a
DLX6	14	a
CSPP1	3	e
DLG2	8	c
VASH1	299	a
HSD17B10	4	e
SCN3A	5	e
FGFR2	2	e
PRRC2B	3	e
MAF	1	e
CAMK2A	8	a
ZNF462	318	a
PAK3	2	e
FRMPD4	6	a
LAMA2	2	e
MAN1B1	10	e
CDK5	2	e
SPP2	2	a
ARID1B	1	c
COL3A1	2	e
GFM1	4	e
KIF5C	3	c
DNMT1	1	e
RLIM	12	a
RIMS1	7	a
CREBBP	1	c
ACE	4	a
LAMB1	2	c
GOSR2	5	e
AHI1	3	c
PCDHAC1	184	a
CHRNB3	13	c
MTO1	4	e
UPF3B	16	a
BSCL2	48	e
CBL	7	e
CLSTN1	70	e
KATNAL2	1	a
ACOX1	11	e
ZEB2	2	e
GDI1	5	e
CAPRIN1	8	a
PRKAR1B	6	a
COQ6	9	e
MLLT3	1	e
METTL23	148	e
PCDH15	3	c
FHIT	1	a
SLC22A9	247	a
SEPSECS	7	e
GPHN	17	c
CRB2	12	e
ELOVL4	96	e
PER1	1	a
NIPA2	13	c
DHCR24	11	e
AASS	4	e
POU3F3	5	a
NPC1	13	e
CACNA1H	5	c
TANC2	277	a
DPP6	5	a
RELN	8	c
PCDHGA5	195	e
HEXA	10	e
CHD2	1	c
HSPD1	9	e
KDM3B	1	a
DPYSL3	2	a
WHSC1	1	e
NFIX	1	a
STK39	17	a
CDH9	1	a
SLC20A2	22	e
USP9X	11	c
IL1RAPL1	8	c
HCN1	5	c
DRD1	6	a
MYO16	158	a
GRIK3	8	a
AZGP1	43	a
ALG1	10	e
SH3RF3	240	a
SUCLA2	9	e
ERMN	100	a
TM4SF19	285	a
GPX1	4	a
KCNAB2	5	e
PCDHA5	182	a
EIF2B1	20	e
NTRK2	2	a
NSMCE3	3	a
THAP1	4	e
POGZ	1	c
GRIA3	8	e
WAC	1	a
ARV1	10	e
ALDH1A3	4	a
CASR	6	e
GABRA4	17	a
ZDHHC15	310	e
ASXL1	1	e
DYRK1A	2	c
OR52M1	6	a
MRPS22	4	e
SEZ6L2	2	a
C7orf55	9	e
APH1A	2	a
PCDHA4	11	a
BDNF	2	e
PARD3B	6	a
PROS1	2	e
NRXN2	8	a
SYNGAP1	8	c
PPP2R1A	3	e
AIMP1	4	e
CYP11B1	6	a
GUCY1A2	4	a
FOXRED1	9	e
PROK2	6	e
SETDB1	1	a
KIF11	3	e
DLGAP2	8	a
TTN	2	c
HESX1	125	e
TMLHE	289	c
MMADHC	4	e
EPM2A	10	e
CLASP1	3	a
ALG13	10	e
DLX2	84	a
DOCK6	2	e
DIAPH1	2	e
DGKD	7	e
SQSTM1	14	e
MTF1	156	a
HTR3A	8	a
KATNAL1	1	a
CEP290	3	c
NELL1	166	e
PRICKLE1	12	c
DOCK8	2	c
HNF1B	126	e
CLN5	15	e
PCCB	4	a
MBD6	1	a
NEO1	167	a
RAB18	5	e
ACTG1	1	e
ATP1A2	5	e
APP	6	e
SLC45A1	260	a
PMP22	2	e
BCL10	2	e
TM4SF20	286	a
TBP	1	e
DRD3	6	a
SYT17	7	a
CMIP	2	a
MED25	1	e
PSMD12	3	a
CHRDL1	2	e
HSD11B1	6	a
ATP13A2	7	e
GRIP1	8	c
MYH10	2	a
ABCA7	5	a
GRID2	8	a
UQCC2	9	e
PAPOLG	175	a
TSEN54	16	e
WDR73	305	e
PET100	208	e
CDKL5	5	c
PTK7	3	a
BRSK2	2	a
CLP1	16	e
CCIN	24	a
CNTN6	7	a
PRICKLE2	3	c
PAX5	1	a
FLG	1	e
EGR3	17	a
HAX1	123	e
CACNA2D2	5	e
NSDHL	11	e
PIGT	10	e
WDR45	304	e
FARP2	2	e
SLC39A8	259	e
GFRA1	2	e
ZMYND8	3	e
EGF	2	e
STAMBP	2	e
SLC35A3	257	e
ADRB2	7	a
CTTNBP2	3	a
MLYCD	11	e
IL27RA	14	e
FLT4	2	e
NHS	5	e
DHTKD1	4	e
SLITRK5	8	a
PCDHA8	183	a
B4GAT1	10	e
ATN1	1	e
MLC1	6	e
MBOAT7	3	a
ACVR1	2	e
PSAP	6	e
PRKD2	2	a
METTL26	149	a
MYH6	2	e
LRBA	142	a
PAH	4	a
PPM1D	216	a
PNPLA8	214	e
DHCR7	11	a
USP45	298	a
EP400	1	a
GTPBP3	4	e
MATN4	4	e
NFIA	1	a
TMEM39B	288	a
KCNE1	5	e
SLC9A1	5	e
ZMYND11	1	c
KCNJ5	6	e
EEF1A2	1	c
AP4B1	7	e
HOXD9	1	e
CCT4	3	a
ORAI1	5	e
GFAP	2	e
CLN6	15	e
AAAS	16	e
FGA	2	a
NRAS	2	e
ELMO1	2	e
CDK13	1	a
WNK3	17	a
DUSP15	90	a
IQSEC2	8	c
BMP4	2	e
STAT2	14	e
C18orf25	51	e
FAM111A	101	e
TBC1D23	279	a
ACADSB	4	e
DENR	11	a
SMAD4	1	a
DNM1	7	e
ANKH	34	e
ACHE	13	a
NEGR1	15	a
CD46	6	e
PTPRC	2	a
PEX14	11	e
KIF2A	3	e
CYP26C1	79	e
PIGM	10	e
HLA-DPB1	14	a
SLC12A5	17	c
INTS6	3	a
MSANTD2	154	a
ST3GAL3	18	e
KRT26	141	a
TOR1A	4	e
CACNA1F	5	a
GSTM1	4	a
CDH22	62	a
GLRA2	17	a
NR1D1	1	a
IFNAR2	14	e
SHANK1	8	c
SLCO1B3	268	a
DPYD	4	c
HEG1	4	e
MRI1	3	e
MPC1	152	e
SF3B1	16	a
RNF135	14	a
ERG	99	a
SYP	7	e
TSC2	2	c
PCDHGC4	206	e
BRCA2	1	c
SLC6A1	17	c
WDFY4	302	a
CADM1	3	a
KCNH1	5	e
AGO1	1	a
SYT2	7	e
TCF4	1	c
HOXD12	127	e
SLC7A11	8	e
DKC1	3	e
ZSWIM6	326	c
UPB1	4	e
ABHD12	6	e
ZNF182	27	e
