node	module	type
HERC2	3	c
VAMP2	5	a
SHANK2	4	a
DRD2	1	a
DRD3	1	a
PPP2R1B	2	a
CEP135	2	a
NEDD4	3	e
GNA11	1	e
LRP2	5	c
ADRA2B	1	e
C3	1	e
TRAF7	3	a
CX3CR1	1	a
PPP2R1A	2	e
NDE1	2	e
GABBR2	1	c
SHANK1	4	c
NLGN2	4	a
SCARB2	5	e
GRM1	4	e
PROK2	1	e
CUL7	3	a
PCM1	2	a
OCRL	5	a
TUBG1	2	e
AVPR1A	1	a
UBE2A	3	e
SYT2	5	e
CENPJ	2	e
NRXN3	4	a
SMURF1	3	a
HECW2	3	c
CSNK1E	2	a
HTR2A	1	e
NECAP1	5	e
KCTD7	3	e
SYT1	5	a
GRM5	4	a
OXT	1	a
RAD21	2	a
CC2D2A	2	e
SMC3	2	a
GPR37	1	a
ZBTB16	3	a
FBXL4	3	e
ADORA3	1	a
DLGAP3	4	a
HACE1	3	e
AGTR2	1	c
DLG4	4	a
GPSM2	1	e
ADCY5	1	a
BTRC	3	a
AKAP9	2	a
CLTCL1	5	a
OPRM1	1	e
SMC1A	2	c
NLGN4X	4	a
CUL3	3	a
HIP1	5	e
GRM7	1	a
PRKN	3	c
HUWE1	3	c
SYNJ1	5	c
PSAP	1	e
UBE3C	3	a
CNR1	1	a
TUBB4A	2	e
FBXO11	3	a
CEP290	2	c
RANBP2	2	e
NLGN1	4	c
DLGAP1	4	a
CENPE	2	e
F2	1	e
DNM1	5	e
CXCR4	1	e
AVPR1B	1	a
RNF213	3	e
DLGAP2	4	a
NINL	2	a
POMC	1	e
PPP2R5D	2	c
HOMER1	4	a
ITSN1	5	a
GAL	1	e
YWHAE	2	c
PPP2CA	2	a
NUP133	2	a
GNB1	1	e
RNF25	3	a
DLG2	4	c
TRIP12	3	a
DNM3	5	e
TAOK1	2	a
ADCY3	1	a
AVPR2	5	e
HERC1	3	e
TUBGCP5	2	a
DNAJC6	5	e
HTR1B	1	a
NRXN1	4	c
NRXN2	4	a
UBE2H	3	a
UBA5	3	e
DLG3	4	e
CBL	5	e
CLASP1	2	a
CEP41	2	a
CASR	1	e
OXTR	1	a
PIK3R2	1	c
STAG1	2	a
NLGN3	4	a
RLIM	3	a
ASB14	3	a
GNAQ	1	e
PDYN	1	e
PAFAH1B1	2	e
GNAO1	1	e
HTR1A	1	e
DYNC1H1	2	c
ADRB2	5	a
PLCB1	1	c
ZWILCH	2	a
EGF	5	e
OFD1	2	c
ANXA1	1	a
FBXO40	3	a
NEDD4L	3	e
AHI1	2	c
RANGAP1	2	e
CHRM3	1	a
GABBR1	1	e
TUBA1A	2	e
CEP164	2	e
APP	1	e
KIF2A	2	e
UBE3A	3	c
MKS1	2	e
XPO1	2	a
