"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CACNG2",3.61416266044344,9.81526207684514,119.015198967523,0,0,2173.40811756828
"ELAVL3",2.32862589209672,11.1878594129489,99.604886501696,0,0,1848.76631942473
"HTR5A",3.57369062166679,9.91824476160498,79.5304422635476,0,0,1467.65151111482
"SCN1A",2.94365658994593,10.577850907649,74.8166400401789,0,0,1370.89090093637
"DSCAM",2.82267482762427,10.5303732624863,72.0844013838785,0,0,1313.57156990008
"GABRG2",3.30704662200056,10.4318158349648,71.1806432822663,0,0,1294.42438519447
"GAL3ST3",2.42159393500083,10.546741302176,68.5162935481235,0,0,1237.3549417681
"GABRA1",3.1929198804174,10.4885880285362,64.9602393417819,0,0,1159.93200713459
"SYNE2",-0.303751987510176,12.1539885661198,-62.5247640427428,0,0,1105.00284459429
"NRG3",2.57775270366163,10.5439809728329,60.7871959661505,0,0,1067.29738177691
"MYT1L",2.55401245540117,10.857812976043,56.9365730572949,0,0,980.318123906877
"COL6A2",-0.411434098362483,12.0819592838393,-51.5231314580692,0,0,855.033293733397
"CREBBP",-0.167600372206871,12.211516649187,-50.8724943181166,0,0,839.983213017105
"GFAP",1.23373302358954,12.0999060301427,48.6943793339889,0,0,789.973776512454
"SHANK2",1.84563610878218,11.0944225345229,47.0140841135397,0,0,751.640640935748
"TBR1",2.47838190700949,9.64457752011171,46.484028709185,0,0,739.495091062754
"SLC5A8",1.93757680549718,9.07308199303401,46.424602474585,0,0,738.20946802526
"GRIN2B",2.1629651353556,10.935752437135,45.9148502944248,1.21540148876947e-321,1.96489907351064e-320,726.103395793418
"MAP1A",0.567204015730173,12.1767292924922,45.7682919531405,3.65015699147513e-320,5.59050100238746e-319,721.608785554605
"SLC6A7",2.51297613960929,10.4746163964437,45.5864937025942,2.48920153687737e-318,3.62178823615657e-317,718.488039342822
"CELF4",1.70147898360962,11.3516685815724,44.8410179356937,8.2047112897039e-311,1.1369385644304e-309,701.116805194422
"CACNA1G",1.71816735267728,11.0387151083864,44.6027203177929,2.07234457672527e-308,2.74114669012297e-307,695.646346693047
"CACNA1E",1.37605560045844,11.4270103599916,43.8708394250598,4.91429904179493e-301,6.21765661374923e-300,678.505401024975
"PPFIA3",0.704299510710122,11.7783794474337,43.6210792823442,1.60981546806922e-298,1.95190125503393e-297,672.214360774398
"NEBL",0.719854758319445,11.926659091586,43.5347156236463,1.19216458104775e-297,1.38767957233958e-296,670.077937855773
