Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_4	GO:0016773~phosphotransferase activity, alcohol group as acceptor	45	23.93617021276596	1.5361718528109071E-19	NRP2, FGFR2, FGFR3, ERBB4, STK11, BRSK2, TTN, EPHB2, PAK2, PAK3, PAK1, EGF, SIK1, NRG2, INSR, AKT3, AKT2, CSF1R, PIK3R2, PRKCA, PIK3CG, TRPM6, BRAF, HCK, FLT4, MET, STRADA, ERLIN2, MAPK10, CDK5, PRKCB, PTPN11, PRKD1, NTRK3, EPHA5, PRKD2, RPS6KA3, RPS6KA2, NTRK1, DYRK1A, MAPK3, NTRK2, MTOR, ENG, ACVR1	164	784	14466	5.062919985067198	2.6422155868347602E-17	2.6422155868347602E-17	1.877804130244752E-16
GOTERM_MF_4	GO:0016301~kinase activity	47	25.0	2.1806828707440545E-18	NRP2, FGFR2, FGFR3, ERBB4, STK11, BRSK2, TTN, EPHB2, PAK2, PAK3, PAK1, EGF, SIK1, NRG2, INSR, AKT3, AKT2, CSF1R, PIK3R2, PRKCA, CNKSR2, PIK3CG, TRPM6, BRAF, HCK, FLT4, MET, STRADA, ERLIN2, MAPK10, CDK5, PRKCB, PTPN11, PRKD1, NTRK3, EPHA5, CARD11, PRKD2, RPS6KA3, RPS6KA2, NTRK1, DYRK1A, MAPK3, NTRK2, MTOR, ENG, ACVR1	164	924	14466	4.4867358251504585	3.750774537679774E-16	1.875387268839887E-16	2.6656492201339813E-15
GOTERM_MF_4	GO:0019199~transmembrane receptor protein kinase activity	15	7.9787234042553195	3.4311801610326046E-13	NRP2, FGFR2, FGFR3, ERBB4, FLT4, MET, EPHB2, NTRK3, EPHA5, NTRK1, NTRK2, INSR, ENG, ACVR1, CSF1R	164	82	14466	16.13548483045806	5.902522914880137E-11	1.9675039375499637E-11	4.1948666762436915E-10
GOTERM_MF_4	GO:0019900~kinase binding	28	14.893617021276595	5.611794152615544E-10	GFAP, NRG3, BRSK2, TTN, PTEN, PAK2, MAPT, RAC1, SLC2A1, PAK1, SIK1, PIK3R2, BCL10, PTPRC, BRAF, STRADA, MYH6, DPYSL2, CDK5, FLNA, PRKCB, PTPN11, RPS6KA3, GTF2I, NTRK1, PLA2G6, RHEB, MTOR	164	595	14466	4.150932568149211	9.652285837269403E-8	2.4130715425840776E-8	6.859812273773969E-7
GOTERM_MF_4	GO:0001883~purine nucleoside binding	51	27.127659574468083	1.493085115646996E-9	HRAS, TTN, ARHGAP5, PAK2, PAK3, PAK1, SIK1, INSR, AKT3, AKT2, PRKCA, PIK3CG, TRPM6, BRAF, MYH4, MYH6, CDK5, PRKCB, PRKD1, PRKD2, MAPK3, ACVR1, FGFR2, FGFR3, HS3ST5, ERBB4, STK11, BRSK2, EPHB2, KRAS, RAC1, CSF1R, FLT4, HCK, MET, STRADA, MAPK10, NTRK3, EPHA5, NRAS, RPS6KA3, RPS6KA2, NTRK1, NTRK2, DYRK1A, RHEB, RIT2, MTOR, MYH14, CLCN6, MYH10	164	1853	14466	2.4277243231147905	2.568106044487095E-7	5.136212610779012E-8	1.8251352096321227E-6
GOTERM_MF_4	GO:0032549~ribonucleoside binding	51	27.127659574468083	1.493085115646996E-9	HRAS, TTN, ARHGAP5, PAK2, PAK3, PAK1, SIK1, INSR, AKT3, AKT2, PRKCA, PIK3CG, TRPM6, BRAF, MYH4, MYH6, CDK5, PRKCB, PRKD1, PRKD2, MAPK3, ACVR1, FGFR2, FGFR3, HS3ST5, ERBB4, STK11, BRSK2, EPHB2, KRAS, RAC1, CSF1R, FLT4, HCK, MET, STRADA, MAPK10, NTRK3, EPHA5, NRAS, RPS6KA3, RPS6KA2, NTRK1, NTRK2, DYRK1A, RHEB, RIT2, MTOR, MYH14, CLCN6, MYH10	164	1853	14466	2.4277243231147905	2.568106044487095E-7	5.136212610779012E-8	1.8251352096321227E-6
GOTERM_MF_4	GO:0032555~purine ribonucleotide binding	51	27.127659574468083	2.640931047085127E-9	HRAS, TTN, ARHGAP5, PAK2, PAK3, PAK1, SIK1, INSR, AKT3, AKT2, PRKCA, PIK3CG, TRPM6, BRAF, MYH4, MYH6, CDK5, PRKCB, PRKD1, PRKD2, MAPK3, ACVR1, FGFR2, FGFR3, HS3ST5, ERBB4, STK11, BRSK2, EPHB2, KRAS, RAC1, CSF1R, FLT4, HCK, MET, STRADA, MAPK10, NTRK3, EPHA5, NRAS, RPS6KA3, RPS6KA2, NTRK1, NTRK2, DYRK1A, RHEB, RIT2, MTOR, MYH14, CLCN6, MYH10	164	1884	14466	2.3877776914711824	4.5424003447536165E-7	7.570668669742986E-8	3.2282528206195593E-6
GOTERM_MF_4	GO:0017076~purine nucleotide binding	51	27.127659574468083	3.3399291474887824E-9	HRAS, TTN, ARHGAP5, PAK2, PAK3, PAK1, SIK1, INSR, AKT3, AKT2, PRKCA, PIK3CG, TRPM6, BRAF, MYH4, MYH6, CDK5, PRKCB, PRKD1, PRKD2, MAPK3, ACVR1, FGFR2, FGFR3, HS3ST5, ERBB4, STK11, BRSK2, EPHB2, KRAS, RAC1, CSF1R, FLT4, HCK, MET, STRADA, MAPK10, NTRK3, EPHA5, NRAS, RPS6KA3, RPS6KA2, NTRK1, NTRK2, DYRK1A, RHEB, RIT2, MTOR, MYH14, CLCN6, MYH10	164	1897	14466	2.3714144284299983	5.744676430108342E-7	8.20668263346036E-8	4.082702431684737E-6
GOTERM_MF_4	GO:0032553~ribonucleotide binding	51	27.127659574468083	3.524647643332043E-9	HRAS, TTN, ARHGAP5, PAK2, PAK3, PAK1, SIK1, INSR, AKT3, AKT2, PRKCA, PIK3CG, TRPM6, BRAF, MYH4, MYH6, CDK5, PRKCB, PRKD1, PRKD2, MAPK3, ACVR1, FGFR2, FGFR3, HS3ST5, ERBB4, STK11, BRSK2, EPHB2, KRAS, RAC1, CSF1R, FLT4, HCK, MET, STRADA, MAPK10, NTRK3, EPHA5, NRAS, RPS6KA3, RPS6KA2, NTRK1, NTRK2, DYRK1A, RHEB, RIT2, MTOR, MYH14, CLCN6, MYH10	164	1900	14466	2.3676700898587932	6.062392190475663E-7	7.577992244822696E-8	4.308500922700631E-6
GOTERM_MF_4	GO:0035639~purine ribonucleoside triphosphate binding	50	26.595744680851062	3.7009706977295064E-9	HRAS, TTN, ARHGAP5, PAK2, PAK3, PAK1, SIK1, INSR, AKT3, AKT2, PRKCA, PIK3CG, TRPM6, BRAF, MYH4, MYH6, CDK5, PRKCB, PRKD1, PRKD2, MAPK3, ACVR1, FGFR2, FGFR3, ERBB4, STK11, BRSK2, EPHB2, KRAS, RAC1, CSF1R, HCK, FLT4, MET, STRADA, MAPK10, EPHA5, NTRK3, NRAS, RPS6KA3, RPS6KA2, NTRK1, NTRK2, DYRK1A, RHEB, MTOR, RIT2, MYH14, CLCN6, MYH10	164	1841	14466	2.395635987864496	6.365667679641973E-7	7.072966090593269E-8	4.524036811837107E-6
