Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_4	GO:0005759~mitochondrial matrix	46	36.8	4.719766857641159E-41	HSD17B10, ACADSB, BCKDK, ME2, TXN2, AMT, FARS2, AASS, QARS, ACSF3, HADHA, KARS, HADHB, AUH, GLDC, MCCC2, GPX1, NARS2, GFM1, MCCC1, ALDH4A1, PDHA1, GUF1, DHTKD1, PDHX, ETFB, BCKDHA, PDK2, ALDH5A1, MRPS22, ACADS, LARS2, DARS2, CPS1, SOD1, MMAA, EARS2, ALDH7A1, DLD, ABAT, CARS2, HIBCH, PCCB, PCCA, PC, PRODH	124	425	17359	15.152068311195446	8.306789669448439E-39	8.306789669448439E-39	5.791741548641792E-38
GOTERM_CC_4	GO:0005739~mitochondrion	65	52.0	1.7232950644088686E-32	BCKDK, VARS2, AMT, QARS, ACSF3, GLDC, AUH, GPX1, MCCC2, NARS2, GPX4, MCCC1, TPO, PDHA1, DHTKD1, MTO1, GTPBP3, GATM, SPTLC2, ACADS, ALDH5A1, AARS, QDPR, DARS2, EARS2, GLUL, ALDH7A1, DLD, ADSL, ABAT, PCCB, MTFMT, PCCA, PRODH, HSD17B10, ACADSB, ALDH18A1, ME2, TXN2, FARS2, AASS, HADHA, KARS, HADHB, ATIC, GFM1, ALDH4A1, GUF1, PDHX, ETFB, BCKDHA, PDK2, MMADHC, MRPS22, MAOA, MAOB, LARS2, CPS1, SOD1, MMAA, GLYCTK, CARS2, HIBCH, NAT8L, PC	124	1700	17359	5.352632827324478	3.0329993133596086E-30	1.5164996566798043E-30	2.1146975954855558E-29
GOTERM_CC_4	GO:0044429~mitochondrial part	51	40.8	2.9284985395927156E-30	BCKDK, AMT, QARS, ACSF3, GLDC, AUH, GPX1, MCCC2, MCCC1, NARS2, PDHA1, DHTKD1, GATM, ACADS, ALDH5A1, DARS2, EARS2, ALDH7A1, DLD, ABAT, PCCB, PCCA, PRODH, HSD17B10, ACADSB, ALDH18A1, ME2, TXN2, FARS2, AASS, HADHA, KARS, HADHB, GFM1, ALDH4A1, GUF1, PDHX, ETFB, BCKDHA, PDK2, MRPS22, MAOA, MAOB, LARS2, CPS1, SOD1, MMAA, CARS2, HIBCH, NAT8L, PC	124	990	17359	7.211705767350929	5.154157429683179E-28	1.7180524765610598E-28	3.593632308222264E-27
GOTERM_CC_4	GO:0044444~cytoplasmic part	111	88.8	8.603629468511988E-24	GDA, GLDC, GSTM1, OPLAH, SPR, PDHA1, MTO1, GTPBP3, GATM, SPTLC2, AARS, QDPR, EARS2, PGM3, GLUL, DLD, ABAT, ADSL, PCCB, MTFMT, PCCA, PRODH, HSD17B10, ACADSB, ME2, TXN2, FARS2, PAH, KARS, ADA, HADHA, HADHB, ACE, GFM1, ALDH4A1, GLO1, GAD1, MRPS22, MMADHC, UPB1, MAOA, MAOB, ACMSD, CPS1, MMAA, GLYCTK, DHFR, MTR, CARS2, NAT8L, PC, BCKDK, VARS2, AMT, CAD, QARS, PSPH, ACSF3, AUH, MCCC2, GPX1, TDO2, MCCC1, NARS2, GPX4, GUCY1A2, TPO, GUCY1A3, DHTKD1, OCA2, DPP4, DDC, ALDH5A1, ACADS, PDE10A, DARS2, ALDH7A1, CTH, ITGB1BP1, ADK, SGCE, ALDH18A1, DPYS, AASS, ASNS, GCH1, MTHFR, PDE1C, ATIC, ALDH1A3, TOR1A, PNPO, GUF1, PDHX, ETFB, BCKDHA, PDK2, AIMP1, ASMT, LARS2, SOD1, AMPD2, AMPD1, SLC17A5, ITPA, PHGDH, GAMT, AGMO, HIBCH, DPYD, PSAT1	124	8090	17359	1.9207793372941504	1.5142387864581098E-21	3.7855969661452745E-22	1.0557724515825718E-20
GOTERM_CC_4	GO:0005737~cytoplasm	116	92.80000000000001	6.711854257476203E-16	GDA, GLDC, GSTM1, OPLAH, SPR, PDHA1, MTO1, GTPBP3, GATM, SPTLC2, AARS, QDPR, EARS2, PGM3, GLUL, DLD, ABAT, ADSL, PCCB, MTFMT, PCCA, SNTG2, PRODH, HSD17B10, ACADSB, ME2, TXN2, FARS2, PAH, ADA, KARS, HADHA, HADHB, ACE, GFM1, ALDH4A1, GLO1, GAD1, MRPS22, MMADHC, UPB1, MAOA, MAOB, ACMSD, CPS1, MMAA, GLYCTK, DHFR, MTR, CARS2, NAT8L, SLC46A1, PC, BCKDK, VARS2, AMT, CAD, QARS, PSPH, ACSF3, AUH, MCCC2, GPX1, TDO2, MCCC1, NARS2, GPX4, GUCY1A2, TPO, GUCY1A3, DHTKD1, FTSJ1, OCA2, DPP4, DDC, ALDH5A1, ACADS, PDE10A, DARS2, PURA, ALDH7A1, CTH, KRIT1, ITGB1BP1, ADK, SGCE, ALDH18A1, DPYS, AASS, ASNS, GCH1, MTHFR, ATIC, PDE1C, ALDH1A3, TOR1A, PNPO, GUF1, PDHX, ETFB, BCKDHA, PDK2, AIMP1, ASMT, LARS2, SOD1, AMPD2, AMPD1, SLC17A5, ITPA, PHGDH, AGMO, GAMT, HIBCH, DPYD, PSAT1	124	10775	17359	1.5071057555572187	1.1723955140041653E-13	2.3425705819590803E-14	8.215650382226158E-13
GOTERM_CC_4	GO:0005829~cytosol	60	48.0	1.0773299162135152E-12	GDA, VARS2, CAD, QARS, PSPH, GLDC, GSTM1, GPX1, MCCC2, TDO2, OPLAH, GPX4, MCCC1, GUCY1A2, GUCY1A3, SPR, DHTKD1, DDC, AARS, QDPR, PDE10A, PGM3, GLUL, ALDH7A1, CTH, ADK, ITGB1BP1, ADSL, PCCB, PCCA, DPYS, PAH, ASNS, KARS, ADA, GCH1, MTHFR, PDE1C, ATIC, ALDH1A3, PNPO, GLO1, AIMP1, MMADHC, UPB1, ASMT, ACMSD, LARS2, AMPD2, SOD1, AMPD1, GLYCTK, ITPA, DHFR, MTR, PHGDH, GAMT, DPYD, PSAT1, PC	124	3399	17359	2.471172735814139	1.8961543446494034E-10	3.1602609418257543E-11	1.3220535777236364E-9
GOTERM_CC_4	GO:0044424~intracellular part	122	97.6	4.392940877441129E-10	GDA, GLDC, GSTM1, OPLAH, SPR, PDHA1, MTO1, GTPBP3, GATM, SPTLC2, AARS, QDPR, EARS2, PGM3, GLUL, TRIM33, DLD, ABAT, ADSL, PCCB, MTFMT, PCCA, SNTG2, PRODH, HSD17B10, PUS3, ACADSB, ME2, TXN2, ADORA2A, FARS2, PAH, ADA, KARS, HADHA, HADHB, ACE, GFM1, ALDH4A1, GLO1, GAD1, MRPS22, MMADHC, UPB1, MAOA, MAOB, ACMSD, CPS1, MMAA, GLYCTK, DHFR, MTR, CARS2, NAT8L, SLC46A1, PC, BCKDK, VARS2, AMT, TRMT10A, CAD, QARS, PSPH, ACSF3, AUH, MCCC2, GPX1, TDO2, MCCC1, NARS2, GPX4, GUCY1A2, TPO, GUCY1A3, DHTKD1, FTSJ1, OCA2, DPP4, DDC, ALDH5A1, ACADS, PDE10A, DARS2, PURA, ALDH7A1, CTH, KRIT1, ITGB1BP1, ADK, SGCE, NSD1, ALDH18A1, DPYS, AASS, ASNS, GCH1, MTHFR, ATIC, PDE1C, ALDH1A3, TOR1A, PNPO, THAP1, GUF1, PDHX, ETFB, BCKDHA, PDK2, AIMP1, ASMT, LARS2, SOD1, AMPD2, AMPD1, SLC17A5, ITPA, PHGDH, AGMO, GAMT, HIBCH, DPYD, PSAT1	124	13860	17359	1.2322522459619234	7.731574902525296E-8	1.104510738425546E-8	5.390684898465281E-7
GOTERM_CC_4	GO:0070013~intracellular organelle lumen	58	46.400000000000006	1.9554809324000527E-7	BCKDK, AMT, TRMT10A, QARS, CAD, ACSF3, GLDC, AUH, GPX1, MCCC2, NARS2, MCCC1, SPR, PDHA1, DHTKD1, ACADS, ALDH5A1, DARS2, PURA, EARS2, ALDH7A1, TRIM33, ADK, DLD, ABAT, PCCB, NSD1, PCCA, PRODH, HSD17B10, ACADSB, ME2, TXN2, FARS2, AASS, HADHA, KARS, HADHB, GCH1, GFM1, TOR1A, ALDH4A1, PNPO, THAP1, GUF1, PDHX, ETFB, BCKDHA, PDK2, MRPS22, LARS2, CPS1, SOD1, MMAA, DHFR, CARS2, HIBCH, PC	124	4328	17359	1.8760471945620416	3.441587554131598E-5	4.302049218862791E-6	2.3996159187467114E-4
GOTERM_CC_4	GO:1990204~oxidoreductase complex	8	6.4	1.1649411261444643E-5	BCKDHA, PDK2, BCKDK, DLD, PDHA1, DHTKD1, PDHX, GLDC	124	108	17359	10.369772998805256	0.0020482078781283164	2.277860888613148E-4	0.014294339506060183
GOTERM_CC_4	GO:0045254~pyruvate dehydrogenase complex	4	3.2	1.8943342007247756E-5	PDK2, DLD, PDHA1, PDHX	124	8	17359	69.99596774193549	0.0033285079669406192	3.333504036527879E-4	0.023243357595104097
