Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_4	GO:0007186~G-protein coupled receptor signaling pathway	37	92.5	3.422337820630449E-37	OPRM1, ADCY3, CASR, ADORA3, DRD3, C3, DRD2, GNA11, ADCY5, GABBR1, OXTR, GABBR2, POMC, AGTR2, HTR1B, HTR1A, CXCR4, CNR1, GPSM2, ADRA2B, PLCB1, GNAO1, PSAP, ANXA1, GAL, PDYN, PROK2, GPR37, GNAQ, CHRM3, GNB1, GRM7, F2, AVPR1B, CX3CR1, AVPR1A, HTR2A	40	1261	16415	12.041137985725614	3.641367441150798E-34	3.641367441150798E-34	5.449941081345925E-34
GOTERM_BP_4	GO:0007165~signal transduction	40	100.0	1.861674551529776E-18	OPRM1, ADCY3, CASR, ADORA3, DRD3, DRD2, C3, GNA11, ADCY5, OXT, GABBR1, OXTR, GABBR2, POMC, AGTR2, APP, HTR1B, HTR1A, CXCR4, CNR1, GPSM2, ADRA2B, PLCB1, PIK3R2, GNAO1, PSAP, ANXA1, GAL, PDYN, PROK2, GPR37, GNAQ, CHRM3, GNB1, GRM7, F2, AVPR1B, CX3CR1, AVPR1A, HTR2A	40	5775	16415	2.8424242424242427	1.9808217228276816E-15	9.904108614138408E-16	2.964644973770976E-15
GOTERM_BP_4	GO:0048878~chemical homeostasis	21	52.5	2.3309240490682996E-14	ADCY3, OPRM1, CASR, DRD3, DRD2, OXT, ADCY5, OXTR, POMC, PROK2, HTR1B, AGTR2, APP, CXCR4, GNB1, CNR1, F2, AVPR1B, AVPR1A, HTR2A, PIK3R2	40	1049	16415	8.215324118207816	2.4806823262224498E-11	8.268941087408166E-12	3.7125857943465235E-11
GOTERM_BP_4	GO:0010243~response to organonitrogen compound	19	47.5	3.728667428082784E-14	ADCY3, OPRM1, GNAO1, DRD3, DRD2, OXT, ADCY5, ANXA1, OXTR, GAL, HTR1B, AGTR2, APP, GNB1, CNR1, AVPR1B, AVPR1A, HTR2A, PIK3R2	40	789	16415	9.882287705956907	3.9690917219559196E-11	9.922729304889799E-12	5.940803404769213E-11
GOTERM_BP_4	GO:0050433~regulation of catecholamine secretion	9	22.5	4.2645582785531805E-14	HTR1B, AGTR2, DRD3, DRD2, OXT, CNR1, OXTR, ADRA2B, HTR2A	40	41	16415	90.08231707317074	4.5361048250924796E-11	9.072187445724467E-12	6.789013795582832E-11
GOTERM_BP_4	GO:0050432~catecholamine secretion	9	22.5	7.859571916851026E-14	HTR1B, AGTR2, DRD3, DRD2, OXT, CNR1, OXTR, ADRA2B, HTR2A	40	44	16415	83.94034090909092	8.363443271264259E-11	1.3939072118773765E-11	1.251776460264864E-10
GOTERM_BP_4	GO:0055082~cellular chemical homeostasis	18	45.0	1.2047808046947576E-13	OPRM1, CASR, DRD3, DRD2, OXT, ADCY5, OXTR, PROK2, HTR1B, APP, AGTR2, CXCR4, GNB1, F2, AVPR1B, AVPR1A, HTR2A, PIK3R2	40	713	16415	10.360098176718093	1.2816858685482657E-10	1.8309798122118082E-11	1.9182433419473455E-10
GOTERM_BP_4	GO:0007267~cell-cell signaling	23	57.49999999999999	1.6617717195019315E-13	OPRM1, GNAO1, DRD3, DRD2, OXT, ADCY5, ANXA1, OXTR, GABBR2, PDYN, POMC, GAL, HTR1B, AGTR2, HTR1A, CHRM3, GNB1, CNR1, GRM7, CX3CR1, ADRA2B, PLCB1, HTR2A	40	1517	16415	6.221901779828609	1.7683721154071463E-10	2.210465144258933E-11	2.6466606684039107E-10
GOTERM_BP_4	GO:0046903~secretion	20	50.0	7.881738103173297E-13	OPRM1, DRD3, PSAP, DRD2, OXT, ADCY5, ANXA1, OXTR, POMC, GAL, HTR1B, APP, AGTR2, HTR1A, CHRM3, CNR1, GRM7, AVPR1A, ADRA2B, HTR2A	40	1098	16415	7.474954462659381	8.385887539930081E-10	9.317657756469089E-11	1.2550960271084932E-9
GOTERM_BP_4	GO:0051046~regulation of secretion	17	42.5	1.0474462534630086E-12	OPRM1, DRD3, DRD2, OXT, ADCY5, ANXA1, OXTR, POMC, GAL, HTR1B, AGTR2, HTR1A, GRM7, CNR1, AVPR1A, ADRA2B, HTR2A	40	683	16415	10.214311859443631	1.1145351308528006E-9	1.1145351308528006E-10	1.6680989922690515E-9
GOTERM_BP_4	GO:0051952~regulation of amine transport	9	22.5	1.1050666884179602E-12	HTR1B, AGTR2, DRD3, DRD2, OXT, CNR1, OXTR, ADRA2B, HTR2A	40	60	16415	61.55625	1.1758434226294412E-9	1.0689482632386671E-10	1.7598589252543206E-9
