gene_symbol,entrez_id
PIGO,84720
MAPK3,5595
DPYS,1807
CLP1,10978
OR52M1,119772
CHD3,1107
HCFC1,3054
MYH6,4624
TBC1D31,93594
DUSP15,128853
SYT2,127833
TBC1D5,9779
MID2,11043
HLA-A,3105
SEZ6L2,26470
PDE1C,5137
BCS1L,617
PARD3B,117583
PCDHGA4,56111
ZNF804A,91752
XK,7504
KCNT1,57582
PEX2,5828
CRH,1392
MAGI2,9863
RPS6KA2,6196
CENPJ,55835
HOXD13,3239
ESRRB,2103
SLC9A1,6548
SAE1,10055
KCNC1,3746
MTO1,25821
CPA6,57094
USH2A,7399
RB1,5925
HTT,3064
FOXP1,27086
CNTNAP5,129684
AMPD2,271
ATP7A,538
DPM1,8813
PRRT2,112476
GNAQ,2776
CECR2,27443
CCDC91,55297
NAT8L,339983
CHD8,57680
SZT2,23334
MTHFR,4524
CNNM2,54805
LNPK,80856
THBS1,7057
DRD1,1812
GGNBP2,79893
FBN1,2200
XPNPEP3,63929
KIF4A,24137
KMT2C,58508
PCDHA6,56142
HOXD10,3236
RBFOX3,146713
TOP3B,8940
CLPB,81570
PIK3CG,5294
SLC38A10,124565
EXOC6B,23233
XPR1,9213
SLC7A6OS,84138
AASS,10157
SLC25A20,788
CD46,4179
NTRK3,4916
WDR45,11152
USP9Y,8287
ALG11,440138
KCND2,3751
ATP2B2,491
RANBP17,64901
POLR3B,55703
PDE10A,10846
ABAT,18
COG4,25839
C3,718
ERBIN,55914
SLC35A2,7355
PRUNE2,158471
HERC1,8925
SPTAN1,6709
PQBP1,10084
EP300,2033
SMG9,56006
CACNA1A,773
SUCO,51430
TAP1,6890
CEP135,9662
GLRA2,2742
FOLR1,2348
SMS,6611
TRAPPC6B,122553
ZNF626,199777
USP15,9958
AHDC1,27245
RAI1,10743
HAX1,10456
SYAP1,94056
RRM2B,50484
OPRM1,4988
AP4E1,23431
CD38,952
KMT2A,4297
TBL1X,6907
FTSJ1,24140
GLUL,2752
ADD3,120
TPP1,1200
GCK,2645
SLC22A15,55356
SSR4,6748
RPS10P2-AS1,-1
SH3RF3,344558
ROBO2,6092
PMP22,5376
PNKP,11284
STXBP1,6812
GJC2,57165
STK39,27347
SCP2,6342
FLG,2312
DLGAP2,9228
CELF6,60677
PCDH11X,27328
MATN4,8785
FARP2,9855
PGM3,5238
CLTCL1,8218
GRIP1,23426
PHB,5245
TANGO2,128989
FAM47A,158724
AGBL4,84871
LRPPRC,10128
MFRP,83552
EGF,1950
GRIN1,2902
PCDHGB6,56100
NF1,4763
MBD6,114785
SPP2,6694
GFAP,2670
IFIH1,64135
UBE3C,9690
SMARCA2,6595
AAAS,8086
IRF3,3661
PCDHGC5,56097
ETFDH,2110
NUBPL,80224
PARN,5073
ZNF548,147694
KIAA1586,57691
AGO4,192670
PRKD2,25865
PCDHGA2,56113
NACC1,112939
C12orf57,113246
ASXL1,171023
TERB2,145645
DIP2C,22982
OTX2,5015
OR2M4,26245
EIF4E,1977
COL3A1,1281
CYP26C1,340665
ARV1,64801
EMX2,2018
PHOX2B,8929
NOTCH1,4851
FGFR2,2263
NUAK1,9891
CEP164,22897
GPSM2,29899
NADK2,133686
PSAP,5660
PACS2,23241
SRPX2,27286
MLLT3,4300
KCNV2,169522
KCNJ15,3772
GIGYF2,26058
KPNA7,402569
ANKH,56172
SIN3A,25942
ABCA10,10349
CNTNAP4,85445
SYNJ1,8867
ACADSB,36
SLC19A3,80704
USP45,85015
CHD1L,9557
THOC2,57187
FGF12,2257
SEPSECS,51091
PSEN2,5664
YWHAE,7531
ABCC8,6833
TSEN2,80746
HOXD9,3235
GRIN2D,2906
AFG3L2,10939
DPYSL2,1808
CDK13,8621
ARHGEF15,22899
SYNGAP1,8831
CD99L2,83692
RAB18,22931
CACNG2,10369
ST3GAL3,6487
NFIX,4784
BICDL1,92558
WDR26,80232
CSNK1G1,53944
ABCA13,154664
SLC16A1,6566
PCDHAC1,56135
MKS1,54903
GABRD,2563
SETDB2,83852
DSCAM,1826
BCAS1,8537
DEAF1,10522
IDS,3423
SLC8A1,6546
SRGAP2,23380
KANK1,23189
JARID2,3720
LGI1,9211
PROK2,60675
COX8A,1351
KIF14,9928
SQSTM1,8878
COL28A1,340267
MTF1,4520
GRID2,2895
PBX1,5087
OCA2,4948
EPC2,26122
KDM5B,10765
KCNJ5,3762
MIR137,406928
TXN2,25828
TSHZ3,57616
KIF3C,3797
RYR3,6263
UBE3A,7337
APBB1,322
TUBA8,51807
PCDHA10,56139
ATP6V0C,527
ASXL3,80816
EPM2A,7957
PNPLA8,50640
FAT4,79633
SOD1,6647
RAD21,5885
INSR,3643
SLC30A3,7781
NIPA2,81614
CERS1,10715
AGL,178
PEX5,5830
SCN9A,6335
ACOX1,51
DHCR7,1717
SEMA5B,54437
PCDHB13,56123
ALG6,29929
BRWD3,254065
GABRB3,2562
NLGN4Y,22829
MAPK10,5602
PRRC2B,84726
BMP4,652
TSNARE1,203062
RERE,473
SEMA5A,9037
KATNAL1,84056
NECAP1,25977
DLX6,1750
ECM1,1893
INTS1,26173
GIPC1,10755
TLK2,11011
SBF1,6305
KIF5C,3800
PSPH,5723
SGSH,6448
P2RX5,5026
MYOCD,93649
COQ6,51004
MYO9B,4650
GIGYF1,64599
PIGA,5277
USP7,7874
CSDE1,7812
SMAD4,4089
RPS6KA3,6197
FBXO33,254170
MLC1,23209
FRMPD4,9758
GRIK1,2897
TERF2,7014
SLC45A1,50651
CTCF,10664
CTNNB1,1499
ARHGDIA,396
SVIL,6840
CUX2,23316
NDUFAF3,25915
KIF1A,547
CACNA1C,775
KHDRBS2,202559
CARS2,79587
CHRNB2,1141
COG7,91949
ASNS,440
PLXNA3,55558
METTL23,124512
ZC3H4,23211
MYO1E,4643
CRHR1,1394
EXT1,2131
NBEA,26960
ADORA3,140
SNX14,57231
NLGN4X,57502
TRIM33,51592
RNF38,152006
MIB1,57534
PTCH1,5727
PATJ,10207
SCO2,9997
MCM9,254394
PAX5,5079
FBXO28,23219
SPARCL1,8404
ATP6AP2,10159
PSD3,23362
MBD1,4152
AP4B1,10717
SLC25A39,51629
MCM6,4175
IL27RA,9466
DOCK8,81704
ANKRD11,29123
TRIP12,9320
DPAGT1,1798
ARHGEF10,9639
LIAS,11019
RBM27,54439
SLC1A4,6509
UPB1,51733
ATP8A2,51761
PIGQ,9091
UBE2H,7328
CASR,846
SPTLC2,9517
STAT1,6772
SCN5A,6331
REEP3,221035
CALM2,805
DRD3,1814
PIK3R2,5296
FKTN,2218
FRRS1L,23732
SSRP1,6749
BST1,683
TENM2,57451
MED12L,116931
MPP6,51678
NEGR1,257194
HCN4,10021
RNASET2,8635
DENR,8562
MED17,9440
MLANA,2315
ERCC6,2074
INPP1,3628
ZBTB16,7704
TUBG1,7283
LRRC1,55227
ICA1,3382
PET100,100131801
IL1B,3553
HTR3A,3359
DISC1,27185
ERG,2078
GALC,2581
POT1,25913
TAOK1,57551
NGLY1,55768
KANSL1,284058
AGPS,8540
RTN4IP1,84816
TRRAP,8295
ASPM,259266
PHRF1,57661
ACSF3,197322
TUBB4A,10382
PPM1D,8493
AMER1,139285
PCDHA2,56146
BTRC,8945
NOL3,8996
C15orf62,643338
CAPRIN1,4076
MSR1,4481
DLG1,1739
MPP7,143098
PPFIA1,8500
WWOX,51741
FBXO11,80204
AUH,549
SCNM1,79005
BAZ2B,29994
SYN2,6854
DOCK7,85440
BCORL1,63035
DARS2,55157
CNTNAP2,26047
CENPE,1062
SETD1B,23067
CARD9,64170
SASS6,163786
NEDD4L,23327
OTC,5009
PCDH7,5099
HMGCS2,3158
SDHD,6392
DPYD,1806
SLC29A4,222962
CPT2,1376
EEF1A2,1917
ZSWIM6,57688
WNK3,65267
CLIC2,1193
ARHGAP5,394
NFIB,4781
NDUFAF6,137682
RBFOX1,54715
HEG1,57493
TNRC6B,23112
PLEKHG2,64857
FOXG1,2290
FMN2,56776
PGAP1,80055
PLCB1,23236
FABP5,2171
RNF213,57674
SLC7A3,84889
TMEM139,135932
VASH1,22846
HADHB,3032
OPHN1,4983
PTK7,5754
ELMO1,9844
MYO5A,4644
PDK2,5164
PCDH10,57575
BRD2,6046
DYNC1H1,1778
KCNK7,10089
CCNK,8812
PDX1,3651
MYO5C,55930
TRIM8,81603
QRICH1,54870
OCLN,100506658
PRKD1,5587
ANK3,288
TOR1A,1861
LRP2,4036
ARHGAP11B,89839
SLC4A10,57282
ISG15,9636
PCDHGC3,5098
PRICKLE2,166336
CDK5,1020
PAX6,5080
