gene_symbol,entrez_id
COLQ,8292
HECW2,57520
STXBP1,6812
TRIM3,10612
MEI1,150365
GSTA1,2938
METTL20,-1
RINL,126432
DPYSL2,1808
DYRK1A,1859
GTPBP6,8225
ARID3C,138715
CACNA1E,777
GABRG2,2566
JUN,3725
DSCAM,1826
PCCB,5096
PPP2R5D,5528
DGKD,8527
KIAA1919,-1
ATP6V1C2,245973
KCNQ3,3786
PPP5C,5536
TCF7L2,6934
TCTE1,202500
TYR,7299
SCN2A,6326
GFAP,2670
NCOA1,8648
ASXL3,80816
BCL11A,53335
CRIPAK,-1
LASP1,3927
NRG3,10718
LETM2,137994
POLR3C,10623
TRPM6,140803
KAT5,10524
GNAI1,2770
CLK1,1195
ZNF226,7769
ITGB6,3694
GABRA1,2554
CC2D1A,54862
GRIA2,2891
GAL3ST3,89792
MAP3K1,4214
TFIP11,24144
BAIAP3,8938
MBNL2,10150
TBL1XR1,79718
LDB1,8861
TEK,7010
ZNF30,90075
KCNB1,3745
SKI,6497
ALDH7A1,501
NUP155,9631
PASK,23178
AP2S1,1175
MED12,9968
DHTKD1,55526
TOM1L2,146691
ZNF668,79759
SPEN,23013
EGFR,1956
HTR5A,3361
CNN3,1266
TSPAN11,441631
DIP2A,23181
VEZF1,7716
BBS1,582
MBOAT2,129642
HPS3,84343
CSNK2B,1460
SHANK2,22941
RAB40C,57799
UBR1,197131
LRRC4C,57689
CD101,9398
NRXN1,9378
ATAD3B,83858
PTEN,5728
MBD5,55777
PTK7,5754
POC1A,25886
KMT2C,58508
GTPBP2,54676
EIF4A3,9775
UNC79,57578
CREBBP,1387
ATXN7,6314
NR3C2,4306
CACNA1G,8913
CELF4,56853
SLC6A2,6530
CHD8,57680
TLK2,11011
SCUBE3,222663
GLDC,2731
ASGR2,433
INSC,387755
HDLBP,3069
CACNG2,10369
GPRC5C,55890
PPFIBP2,8495
ATM,472
C1orf177,-1
IQGAP2,10788
TSC1,7248
RECQL5,9400
SHANK3,85358
SETD5,55209
RORB,6096
CUL7,9820
ATR,545
EYA4,2070
NACC1,112939
LYZL2,119180
RBM4,5936
CEPT1,10390
SCN8A,6334
GTF3C4,9329
PHF21A,51317
ZMYND8,23613
KMT2E,55904
LRRFIP2,9209
LY75-CD302,100526664
PHF12,57649
HSD17B4,3295
COBLL1,22837
RAI1,10743
DNMT3A,1788
PLEKHG5,57449
SIN3A,25942
MED13L,23389
TRMT61B,55006
RECK,8434
CDC20B,166979
ITGA6,3655
MYT1L,23040
STOX1,219736
ACAT1,38
STK39,27347
UNC13D,201294
ANKRD13B,124930
ZNF587,84914
ADCY10,55811
KCNMA1,3778
TRAF7,84231
LGI1,9211
DLG4,1742
CMTM1,113540
TM9SF4,9777
DDIAS,220042
WDR35,57539
ADCY9,115
CADM4,199731
PI4K2A,55361
STIL,6491
FXR1,8087
KDM6B,23135
GLI1,2735
M1AP,130951
F13B,2165
SH2D3C,10044
GABRB2,2561
MARK3,4140
TECR,9524
CDAN1,146059
CORO1A,11151
LRIG2,9860
CACNA2D3,55799
CTNNB1,1499
TRIP12,9320
CMTR2,55783
MAP1A,4130
DYNC1H1,1778
ASH1L,55870
TNPO1,3842
FOXP1,27086
SPAST,6683
HECTD4,283450
KCNQ4,9132
KIAA0232,9778
DNAH8,1769
INPPL1,3636
PTPRG,5793
RNF168,165918
RC3H2,54542
PSG4,5672
PPARG,5468
DEPDC5,9681
TCF4,6925
DNAH17,8632
ARL8A,127829
KDM5B,10765
AGO1,26523
SMARCC2,6601
CHD2,1106
PRR12,57479
MYO5C,55930
SATB1,6304
ZNF282,8427
MYH3,4621
DEAF1,10522
TAOK1,57551
TOR1A,1861
MAP3K4,4216
EEF1A2,1917
SEPN1,-1
CTSA,5476
POGZ,23126
THSD7A,221981
SLC22A2,6582
IRF2BPL,64207
CDK5RAP2,55755
SCN1A,6323
HSF4,3299
SETD2,29072
SRRM2,23524
GABRB3,2562
SLC6A7,6534
EIF4G1,1981
WDR59,79726
RFX3,5991
PHF2,5253
EIF3G,8666
COL6A2,1292
SEC61A2,55176
SLC7A9,11136
PPP1R9B,84687
SYNE2,23224
ANKRD11,29123
EIF3A,8661
CYP4F11,57834
ELTD1,-1
MSH3,4437
NEXMIF,340533
GBF1,8729
CCDC66,285331
DNAH3,55567
ELAVL3,1995
PPFIA3,8541
NSD1,64324
FBXL6,26233
FDXR,2232
MCF2L2,23101
WAC,51322
TRIOBP,11078
ANK2,287
AMBRA1,55626
GIGYF1,64599
TBR1,10716
FOXP2,93986
MTMR11,10903
TRIM23,373
GRIN2B,2904
SLC9A1,6548
SRPR,-1
RAD51C,5889
POM121L12,285877
SLC5A8,160728
QSOX2,169714
HGS,9146
GGA2,23062
ADNP,23394
SYNGAP1,8831
KCNJ14,3770
HK3,3101
TCF20,6942
ATN1,1822
AAGAB,79719
LDLR,3949
SLC6A1,6529
MST1,4485
AGXT2,64902
LMF2,91289
ARID1B,57492
MKX,283078
L3MBTL4,91133
NEBL,10529
MEFV,4210
KMT5B,51111
ATP9B,374868
ZNF416,55659
MYO10,4651
TFB2M,64216
NPC1L1,29881
DNAJC13,23317
PAX5,5079
ARFGEF1,10565
KCNT2,343450
MTRF1,9617
