gene,ppi_degree,phenotype_degree,ppi_betweenness,phenotype_betweenness,module_multiplex,module_ppi,module_phenotype,e1,e2,e3,e4,a1,a2,a3,as,common,common_all,a_specific,e_specific,annotated_type
AAAS,10,1,0.0002551780262871125,0.0,10,3,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 4
AARS,12,17,0.0035810620708497205,1.133949265427354e-05,2,4,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 1
AASS,1,0,0.0,0.0,2,4,182,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 3
ABAT,9,1,0.000531980851458713,0.0,2,4,6,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,"Epilepsy 3, Autism 3"
ABCA10,0,1,0.0,0.0,8,29,11,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Autism 3
ABCA13,5,3,0.0,0.0008189140965301009,8,16,11,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Autism 3
ABCA7,6,3,0.0002226526276187452,1.8697392619226187e-05,3,5,10,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Autism 3
ABCC8,3,5,1.9585557830106742e-05,9.03430278069385e-05,4,4,18,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 3
ABHD12,2,0,0.0,0.0,9,6,287,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 3
ACADS,6,0,0.0005492623058472789,0.0,2,4,129,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 3
ACADSB,6,0,0.00022611467652791528,0.0,2,4,291,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 3
ACE,7,22,0.0004262067390059742,9.475845650674089e-05,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Autism 3
ACHE,3,25,0.002777608746968102,0.0014123269935413995,3,13,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Autism 2
ACMSD,2,32,6.771864912575462e-05,0.0008873506497182686,2,4,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 4
ACO2,10,0,0.002925053472356696,0.0,2,9,350,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 3
ACOT7,0,2,0.0,1.3751706071034439e-06,2,124,23,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 4
ACOX1,16,1,0.005916119880279043,0.0,2,14,23,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 3
ACSF3,4,16,0.00106038777986727,0.00017884016025697876,6,4,14,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 3
ACTB,51,78,0.01713297477113489,0.0002439678261190136,1,2,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"Epilepsy 3, Autism 1"
ACTG1,30,67,0.0029886909498420162,1.809250249822071e-05,1,2,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 3
ACTL6B,16,20,8.756486277654626e-05,5.893781844000463e-05,4,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,Autism S
ACTN4,14,17,0.001103196775110313,0.0018044797183533658,1,2,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Autism 3
ACVR1,5,0,0.00011514223419301028,0.0,12,1,331,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 3
ACY1,2,3,0.0,0.0008189140965301009,2,13,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,"Epilepsy 3, Autism S"
ADA,9,2,0.0005055755391174834,0.0,2,4,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Autism 2
ADAM22,4,5,2.39224200821458e-06,0.0025669715134880185,3,5,7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 4
ADCY3,42,137,0.002688922740468301,0.004932532374400032,9,6,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Autism 2
ADCY5,38,136,0.001825358799565264,0.008225936983714854,9,6,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Autism 3
ADD3,0,0,0.0,0.0,140,293,410,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 3
ADK,12,0,0.0007554600123924994,0.0,2,4,437,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,"Epilepsy 3, Autism 3"
ADNP,4,2,0.0002316908785867235,0.0,4,2,28,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"Epilepsy 3, Autism 1"
ADORA2A,5,75,0.0003845206137135719,0.008247333529884123,1,4,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,"Epilepsy 4, Autism 3"
ADORA3,29,6,0.0015012237598610741,1.419166318159342e-05,9,6,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Autism 3
ADRA2B,29,1,0.0002687058764687678,0.0,9,6,42,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Epilepsy 1
ADRB2,31,85,0.0010906515109434403,0.005619667952706222,1,8,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Autism 3
