HPO,parent,HPO_name
HP:0001250,root,Seizure
HP:0002069,HP:0001250,Bilateral tonic-clonic seizure
HP:0007359,HP:0001250,Focal-onset seizure
HP:0020207,HP:0001250,Reflex seizure
HP:0032892,HP:0001250,Infection-related seizure
HP:0011145,HP:0001250,Symptomatic seizures
HP:0002133,HP:0001250,Status epilepticus
HP:0020219,HP:0001250,Motor seizure
HP:0032807,HP:0001250,Neonatal seizure
HP:0100622,HP:0001250,Maternal seizure
HP:0100622,HP:0001250,Maternal seizure
HP:0031951,HP:0001250,Nocturnal seizures
HP:0031951,HP:0001250,Nocturnal seizures
HP:0011146,HP:0001250,Dialeptic seizure
HP:0002197,HP:0001250,Generalized-onset seizure
HP:0032660,HP:0002069,Convulsive status epilepticus
HP:0032660,HP:0002069,Convulsive status epilepticus
HP:0007334,HP:0002069,Bilateral tonic-clonic seizure with focal onset
HP:0007334,HP:0002069,Bilateral tonic-clonic seizure with focal onset
HP:0007193,HP:0002069,Generalized tonic-clonic seizures on awakening
HP:0007193,HP:0002069,Generalized tonic-clonic seizures on awakening
HP:0025190,HP:0002069,Bilateral tonic-clonic seizure with generalized onset
HP:0025190,HP:0002069,Bilateral tonic-clonic seizure with generalized onset
HP:0025190,HP:0002069,Bilateral tonic-clonic seizure with generalized onset
HP:0007334,HP:0007359,Bilateral tonic-clonic seizure with focal onset
HP:0007334,HP:0007359,Bilateral tonic-clonic seizure with focal onset
HP:0002384,HP:0007359,Focal impaired awareness seizure
HP:0002384,HP:0007359,Focal impaired awareness seizure
HP:0032786,HP:0007359,Migrating focal seizure
HP:0032786,HP:0007359,Migrating focal seizure
HP:0011153,HP:0007359,Focal motor seizure
HP:0011153,HP:0007359,Focal motor seizure
HP:0002349,HP:0007359,Focal aware seizure
HP:0032679,HP:0007359,Focal non-motor seizure
HP:0031165,HP:0007359,Multifocal seizures
HP:0031165,HP:0007359,Multifocal seizures
HP:0020211,HP:0020207,Proprioceptive-induced seizure
HP:0020211,HP:0020207,Proprioceptive-induced seizure
HP:0020213,HP:0020207,Somatosensory-induced seizure
HP:0020213,HP:0020207,Somatosensory-induced seizure
HP:0020216,HP:0020207,Visually-induced seizure
HP:0020214,HP:0020207,Startle-induced seizure
HP:0020214,HP:0020207,Startle-induced seizure
HP:0020208,HP:0020207,Eating-induced seizure
HP:0020208,HP:0020207,Eating-induced seizure
HP:0020209,HP:0020207,Hot water-induced seizure
HP:0020209,HP:0020207,Hot water-induced seizure
HP:0020210,HP:0020207,Praxis-induced seizure
HP:0020210,HP:0020207,Praxis-induced seizure
HP:0020215,HP:0020207,Thinking-induced seizure
HP:0020215,HP:0020207,Thinking-induced seizure
HP:0020212,HP:0020207,Reading-induced seizure
HP:0020212,HP:0020207,Reading-induced seizure
HP:0032896,HP:0020207,Music-induced seizure
HP:0032896,HP:0020207,Music-induced seizure
HP:0032894,HP:0032892,Seizure precipitated by febrile infection
HP:0032893,HP:0032892,Gastroenteritis-related afebrile seizure
HP:0032893,HP:0032892,Gastroenteritis-related afebrile seizure
HP:0002173,HP:0011145,Hypoglycemic seizures
HP:0002173,HP:0011145,Hypoglycemic seizures
HP:0002199,HP:0011145,Hypocalcemic seizures
HP:0002199,HP:0011145,Hypocalcemic seizures
HP:0032656,HP:0002133,Febrile status epilepticus
HP:0032656,HP:0002133,Febrile status epilepticus
HP:0032656,HP:0002133,Febrile status epilepticus
HP:0032656,HP:0002133,Febrile status epilepticus
HP:0031475,HP:0002133,Status epilepticus without prominent motor symptoms
HP:0032867,HP:0002133,Refractory status epilepticus
HP:0032658,HP:0002133,Status epilepticus with prominent motor symptoms
HP:0032677,HP:0020219,Generalized-onset motor seizure
HP:0032677,HP:0020219,Generalized-onset motor seizure
HP:0032792,HP:0020219,Tonic seizure
HP:0010819,HP:0020219,Atonic seizure
HP:0011097,HP:0020219,Epileptic spasm
HP:0011153,HP:0020219,Focal motor seizure
HP:0011153,HP:0020219,Focal motor seizure
HP:0020221,HP:0020219,Clonic seizure
HP:0032794,HP:0020219,Myoclonic seizure
HP:0032808,HP:0032807,Neonatal seizure with electrographic correlate
HP:0002121,HP:0011146,Generalized non-motor (absence) seizure
HP:0002121,HP:0011146,Generalized non-motor (absence) seizure
HP:0002384,HP:0011146,Focal impaired awareness seizure
HP:0002384,HP:0011146,Focal impaired awareness seizure
HP:0002121,HP:0002197,Generalized non-motor (absence) seizure
HP:0002121,HP:0002197,Generalized non-motor (absence) seizure
HP:0032677,HP:0002197,Generalized-onset motor seizure
HP:0032677,HP:0002197,Generalized-onset motor seizure
HP:0032661,HP:0032660,Generalized convulsive status epilepticus
HP:0032661,HP:0032660,Generalized convulsive status epilepticus
HP:0032661,HP:0032660,Generalized convulsive status epilepticus
HP:0032661,HP:0032660,Generalized convulsive status epilepticus
HP:0032661,HP:0032660,Generalized convulsive status epilepticus
HP:0032661,HP:0032660,Generalized convulsive status epilepticus
HP:0032661,HP:0032660,Generalized convulsive status epilepticus
HP:0032661,HP:0032660,Generalized convulsive status epilepticus
HP:0032661,HP:0032660,Generalized convulsive status epilepticus
HP:0032661,HP:0032660,Generalized convulsive status epilepticus
HP:0032662,HP:0032660,Focal-onset seizure evolving into bilateral convulsive status epilepticus
HP:0032662,HP:0032660,Focal-onset seizure evolving into bilateral convulsive status epilepticus
HP:0032662,HP:0032660,Focal-onset seizure evolving into bilateral convulsive status epilepticus
HP:0032662,HP:0032660,Focal-onset seizure evolving into bilateral convulsive status epilepticus
HP:0032662,HP:0032660,Focal-onset seizure evolving into bilateral convulsive status epilepticus
HP:0032662,HP:0032660,Focal-onset seizure evolving into bilateral convulsive status epilepticus
HP:0032662,HP:0032660,Focal-onset seizure evolving into bilateral convulsive status epilepticus
HP:0032662,HP:0032660,Focal-onset seizure evolving into bilateral convulsive status epilepticus
HP:0032662,HP:0007334,Focal-onset seizure evolving into bilateral convulsive status epilepticus
HP:0032662,HP:0007334,Focal-onset seizure evolving into bilateral convulsive status epilepticus
HP:0032662,HP:0007334,Focal-onset seizure evolving into bilateral convulsive status epilepticus
HP:0032662,HP:0007334,Focal-onset seizure evolving into bilateral convulsive status epilepticus
HP:0032662,HP:0007334,Focal-onset seizure evolving into bilateral convulsive status epilepticus
HP:0032662,HP:0007334,Focal-onset seizure evolving into bilateral convulsive status epilepticus
HP:0032662,HP:0007334,Focal-onset seizure evolving into bilateral convulsive status epilepticus
HP:0032662,HP:0007334,Focal-onset seizure evolving into bilateral convulsive status epilepticus
HP:0032661,HP:0025190,Generalized convulsive status epilepticus
HP:0032661,HP:0025190,Generalized convulsive status epilepticus
HP:0032661,HP:0025190,Generalized convulsive status epilepticus
HP:0032661,HP:0025190,Generalized convulsive status epilepticus
HP:0032661,HP:0025190,Generalized convulsive status epilepticus
HP:0032661,HP:0025190,Generalized convulsive status epilepticus
HP:0032661,HP:0025190,Generalized convulsive status epilepticus
HP:0032661,HP:0025190,Generalized convulsive status epilepticus
HP:0032661,HP:0025190,Generalized convulsive status epilepticus
HP:0032661,HP:0025190,Generalized convulsive status epilepticus
HP:0007207,HP:0025190,Photosensitive tonic-clonic seizure
HP:0007207,HP:0025190,Photosensitive tonic-clonic seizure
HP:0007207,HP:0025190,Photosensitive tonic-clonic seizure
HP:0007207,HP:0025190,Photosensitive tonic-clonic seizure
HP:0007207,HP:0025190,Photosensitive tonic-clonic seizure
HP:0007207,HP:0025190,Photosensitive tonic-clonic seizure
HP:0007207,HP:0025190,Photosensitive tonic-clonic seizure
HP:0007207,HP:0025190,Photosensitive tonic-clonic seizure
HP:0032662,HP:0007334,Focal-onset seizure evolving into bilateral convulsive status epilepticus
HP:0032662,HP:0007334,Focal-onset seizure evolving into bilateral convulsive status epilepticus
HP:0032662,HP:0007334,Focal-onset seizure evolving into bilateral convulsive status epilepticus
HP:0032662,HP:0007334,Focal-onset seizure evolving into bilateral convulsive status epilepticus
HP:0032662,HP:0007334,Focal-onset seizure evolving into bilateral convulsive status epilepticus
HP:0032662,HP:0007334,Focal-onset seizure evolving into bilateral convulsive status epilepticus
HP:0032662,HP:0007334,Focal-onset seizure evolving into bilateral convulsive status epilepticus
HP:0032662,HP:0007334,Focal-onset seizure evolving into bilateral convulsive status epilepticus
HP:0032716,HP:0002384,Focal impaired awareness non-motor seizure
HP:0032716,HP:0002384,Focal impaired awareness non-motor seizure
HP:0032716,HP:0002384,Focal impaired awareness non-motor seizure
HP:0032712,HP:0002384,Focal impaired awareness motor seizure
HP:0032712,HP:0002384,Focal impaired awareness motor seizure
HP:0032712,HP:0002384,Focal impaired awareness motor seizure
HP:0032712,HP:0002384,Focal impaired awareness motor seizure
HP:0020217,HP:0011153,Focal aware motor seizure
HP:0020217,HP:0011153,Focal aware motor seizure
HP:0020217,HP:0011153,Focal aware motor seizure
HP:0032721,HP:0011153,Focal motor seizure with paresis/paralysis
HP:0032721,HP:0011153,Focal motor seizure with paresis/paralysis
HP:0002266,HP:0011153,Focal clonic seizure
HP:0002266,HP:0011153,Focal clonic seizure
HP:0002266,HP:0011153,Focal clonic seizure
HP:0032846,HP:0011153,Focal motor seizure with negative myoclonus
HP:0032846,HP:0011153,Focal motor seizure with negative myoclonus
HP:0011174,HP:0011153,Focal hyperkinetic seizure
HP:0011174,HP:0011153,Focal hyperkinetic seizure
HP:0032720,HP:0011153,Focal motor seizure with dysarthria/anarthria
HP:0032720,HP:0011153,Focal motor seizure with dysarthria/anarthria
HP:0032712,HP:0011153,Focal impaired awareness motor seizure
HP:0032712,HP:0011153,Focal impaired awareness motor seizure
HP:0032712,HP:0011153,Focal impaired awareness motor seizure
HP:0032712,HP:0011153,Focal impaired awareness motor seizure
HP:0032898,HP:0011153,Focal automatism seizure
HP:0032898,HP:0011153,Focal automatism seizure
HP:0011175,HP:0011153,Focal motor seizure with version
HP:0011175,HP:0011153,Focal motor seizure with version
HP:0020220,HP:0011153,Focal atonic seizure
HP:0020220,HP:0011153,Focal atonic seizure
HP:0020220,HP:0011153,Focal atonic seizure
HP:0011166,HP:0011153,Focal myoclonic seizure
HP:0011166,HP:0011153,Focal myoclonic seizure
HP:0011166,HP:0011153,Focal myoclonic seizure
HP:0011167,HP:0011153,Focal tonic seizure
HP:0011167,HP:0011153,Focal tonic seizure
HP:0011167,HP:0011153,Focal tonic seizure
HP:0032843,HP:0011153,Focal-onset epileptic spasm
HP:0032843,HP:0011153,Focal-onset epileptic spasm
HP:0032843,HP:0011153,Focal-onset epileptic spasm
HP:0032715,HP:0011153,Focal bilateral motor seizure
HP:0032715,HP:0011153,Focal bilateral motor seizure
HP:0032718,HP:0011153,Focal motor seizure with dystonia
HP:0032718,HP:0011153,Focal motor seizure with dystonia
HP:0032682,HP:0002349,Focal aware non-motor seizure
HP:0032682,HP:0002349,Focal aware non-motor seizure
HP:0020217,HP:0002349,Focal aware motor seizure
HP:0020217,HP:0002349,Focal aware motor seizure
HP:0020217,HP:0002349,Focal aware motor seizure
HP:0025613,HP:0032679,Focal emotional seizure
HP:0011157,HP:0032679,Focal sensory seizure
HP:0032682,HP:0032679,Focal aware non-motor seizure
HP:0032682,HP:0032679,Focal aware non-motor seizure
